Year	Competition	Venue	Position	Event	Notes
2006	NACAC U23 Championships	Santo Domingo, Dominican Republic	3rd	4×100 m relay	39.98
2007	NACAC Championships	San Salvador, El Salvador	1st	100 m	10.32
2007	NACAC Championships	San Salvador, El Salvador	3rd	4×100 m relay	39.92
2007	Pan American Games	Rio de Janeiro, Brazil	4th (h)	4×100 m relay	39.02
2007	World Championships	Osaka, Japan	31st (h)	100 m	10.44
2008	Central American and Caribbean Championships	Cali, Colombia	1st	4×100 m relay	38.54
2008	Olympic Games	Beijing, China	2nd	100 m	9.89
2008	Olympic Games	Beijing, China	2nd	4×100 m relay	38.06
2009	World Championships	Berlin, Germany	5th	100 m	9.93
2009	World Championships	Berlin, Germany	2nd	4×100 m relay	37.62
2011	World Championships	Daegu, South Korea	10th (sf)	100 m	10.20
2011	World Championships	Daegu, South Korea	6th	4×100 m relay	39.01
2012	Olympic Games	London, United Kingdom	7th	100 m	9.98
2012	Olympic Games	London, United Kingdom	3rd	4×100 m relay	38.12
