Production no.	Episode no.	Original Airdate	Episode Title	Host
28	301	October 26, 2008	"City of Blood"	Don Wildman
29	302	November 2, 2008	"Tunnels of Hell"	Don Wildman
30	303	November 9, 2008	"Real Mafia Underground"	Don Wildman
31	304	November 16, 2008	"Secret Sin City"	Don Wildman
32	305	November 24, 2008	"Hitler's Trenches"	Don Wildman
33	306	December 1, 2008	"Barbarians' Lair"	Don Wildman
34	307	December 8, 2008	"Land of Manson"	Don Wildman
35	308	December 15, 2008	"Gladiators: Blood Sport"	Don Wildman
36	309	December 22, 2008	"Secret Holy Land"	Don Wildman
37	310	January 12, 2009	"Under The Rock"	Don Wildman
38	311	January 26, 2009	"Tomb of the Lost Mummies"	Don Wildman
39	312	February 2, 2009	"Gods of War"	Don Wildman
40	313	February 9, 2009	"Alcatraz Down Under"	Don Wildman
