Driver	Constructor	Laps	Time/Retired	Grid
Felipe Massa	Ferrari	71	1:34:11.435	1
Fernando Alonso	Renault	71	+13.298	6
Kimi Räikkönen	Ferrari	71	+16.235	3
Sebastian Vettel	Toro Rosso - Ferrari	71	+38.011	7
Lewis Hamilton	McLaren - Mercedes	71	+38.907	4
Timo Glock	Toyota	71	+44.368	10
Heikki Kovalainen	McLaren - Mercedes	71	+55.074	5
Jarno Trulli	Toyota	71	+1:08.433	2
Mark Webber	Red Bull - Renault	71	+1:19.666	12
Nick Heidfeld	BMW Sauber	70	+1 lap	8
Robert Kubica	BMW Sauber	70	+1 lap	13
Nico Rosberg	Williams - Toyota	70	+1 lap	18
Jenson Button	Honda	70	+1 lap	17
Sébastien Bourdais	Toro Rosso - Ferrari	70	+1 lap	9
Rubens Barrichello	Honda	70	+1 lap	15
Adrian Sutil	Force India - Ferrari	69	+2 laps	20
Kazuki Nakajima	Williams - Toyota	69	+2 laps	16
Giancarlo Fisichella	Force India - Ferrari	69	+2 laps	19
Nelson Piquet Jr.	Renault	0	Accident	11
David Coulthard	Red Bull - Renault	0	Collision	14
