Club	Played	Drawn	Lost	Points for	Points against	Bonus points	Points
Club	Played	Drawn	Lost	Points for	Points against	Bonus points	Points
Clermont	26	0	6	773	380	16	96
Toulouse	26	0	7	723	394	15	91
Stade Français	26	0	8	617	417	8	80
Perpignan	26	2	7	531	392	7	79
Castres	26	0	11	564	524	9	69
Biarritz	26	1	12	385	339	12	66
Montauban	26	0	13	420	446	11	63
Montpellier	26	0	12	426	490	5	61
Bayonne	26	1	14	457	535	8	54
Bourgoin	26	2	14	453	526	8	52
Brive	26	0	16	425	514	11	51
Albi	26	1	16	415	549	10	48
Dax	26	1	19	314	645	8	34
Auch	26	0	23	336	688	7	19
