Rank	Name	Nation	Points	Places
1	Tai Babilonia / Randy Gardner	United States	144.54	12
2	Marina Cherkasova / Sergei Shakhrai	Soviet Union	142.22	16
3	Sabine Baeß / Tassilo Thierbach	East Germany	137.74	32
4	Irina Vorobieva / Igor Lisovski	Soviet Union	138.72	33
5	Marina Pestova / Stanislav Leonovich	Soviet Union	133.98	46
6	Vicki Heasley / Robert Wagenhoffer	United States	132.50	54
7	Cornelia Haufe / Kersten Bellmann	East Germany	128.98	70
8	Christina Riegel / Andreas Nischwitz	West Germany	128.56	75
9	Sheryl Franks / Michael Botticelli	United States	127.64	77
10	Kerstin Stolfig / Veit Kempe	East Germany	125.92	84
11	Barbara Underhill / Paul Martini	Canada	123.92	94
12	Gabriele Beck / Jochen Stahl	West Germany	117.62	114
13	Elizabeth Cain / Peter Cain	Australia	115.32	117
14	Kyoko Hagiwara / Hisao Ozaki	Japan	114.02	120
