Game	Date	Team	Score	High points	High assists	Location Attendance	Record
47	February 2	@ Washington	W 113–97 (OT)	O. J. Mayo (33)	Mike Conley, Jr. (5)	Verizon Center 11,442	12–35
48	February 4	Houston	W 104–93 (OT)	O. J. Mayo (32)	Mike Conley, Jr. (7)	FedExForum 10,109	13–35
49	February 6	L.A. Clippers	L 105–126 (OT)	Rudy Gay (26)	Mike Conley, Jr. (3)	FedExForum 10,912	13–36
50	February 7	Toronto	W 78–70 (OT)	O. J. Mayo , Hakim Warrick (16)	Mike Conley, Jr. (8)	FedExForum 11,498	14–36
51	February 9	New Orleans	W 85–80 (OT)	O. J. Mayo (22)	Mike Conley, Jr. (8)	FedExForum 10,896	15–36
52	February 11	@ Philadelphia	L 87–91 (OT)	Hakim Warrick (31)	O. J. Mayo (5)	Wachovia Center 12,812	15–37
53	February 17	@ Utah	L 99–117 (OT)	O. J. Mayo , Rudy Gay (18)	Mike Conley, Jr. (4)	EnergySolutions Arena 19,911	15–38
54	February 18	@ Portland	L 90–94 (OT)	Rudy Gay (20)	Mike Conley, Jr. (10)	Rose Garden 20,385	15–39
55	February 20	Sacramento	L 106–115 (OT)	O. J. Mayo (24)	Mike Conley, Jr. (7)	FedExForum 15,036	15–40
56	February 24	@ Cleveland	L 79–94 (OT)	Hakim Warrick , Rudy Gay (13)	Mike Conley, Jr. (7)	Quicken Loans Arena 20,562	15–41
57	February 25	@ Indiana	L 99–104 (OT)	Marc Gasol (22)	Mike Conley, Jr. (8)	Conseco Fieldhouse 13,211	15–42
58	February 28	Oklahoma City	L 92–99 (OT)	Rudy Gay (20)	Mike Conley, Jr. (4)	FedExForum 10,074	15–43
