Date	Course	Distance	Winner	Race Leader
16 May	Milan to Turin	km (mi)	Giuseppe Olmo ( ITA )	Giuseppe Olmo ( ITA )
17 May	Turin to Genoa	km (mi)	Aldo Bini ( ITA )	Aldo Bini ( ITA )
18 May	Genoa to Montecatini Terme	km (mi)	Raffaele Di Paco ( ITA )	Aldo Bini ( ITA )
19 May	Rest day	Rest day	Rest day	Rest day
20 May	Montecatini Terme to Grosseto	km (mi)	Fabio Battesini ( ITA )	Aldo Bini ( ITA )
21 May	Grosseto to Rome	km (mi)	Giuseppe Olmo ( ITA )	Aldo Bini ( ITA )
22 May	Rest day	Rest day	Rest day	Rest day
23 May	Rome to Naples	km (mi)	Giuseppe Olmo ( ITA )	Giuseppe Olmo ( ITA )
24 May	Naples to Bari	km (mi)	Raffaele Di Paco ( ITA )	Giuseppe Olmo ( ITA )
25 May	Rest day	Rest day	Rest day	Rest day
26 May	Bari to Campobasso	km (mi)	Olimpio Bizzi ( ITA )	Giuseppe Olmo ( ITA )
27 May	Campobasso to L'Aquila	km (mi)	Gino Bartali ( ITA )	Gino Bartali ( ITA )
28 May	L'Aquila to Rieti	km (mi)	Raffaele Di Paco ( ITA )	Gino Bartali ( ITA )
29 May	Rieti to Monte Terminillo	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
30 May	Rieti to Florence	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
31 May	Florence to Cesenatico	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
1 June	Cesenatico to Ferrara	km (mi)	Raffaele Di Paco ( ITA )	Gino Bartali ( ITA )
2 June	Ferrara to Padua	km (mi)	Raffaele Di Paco ( ITA )	Gino Bartali ( ITA )
2 June	Padua to Venice	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
3 June	Rest day	Rest day	Rest day	Rest day
4 June	Venice to Legnago	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
5 June	Legnago to Riva del Garda	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
5 June	Riva del Garda to Gardone Riviera	km (mi)	Gino Bartali ( ITA )	Gino Bartali ( ITA )
6 June	Gardone Riviera to Salsomaggiore Terme	km (mi)	Gino Bartali ( ITA )	Gino Bartali ( ITA )
7 June	Salsomaggiore Terme to Milan	km (mi)	Giuseppe Olmo ( ITA )	Gino Bartali ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
