Place	Player	Country	Score	To par	Money ( $ )
1	Raymond Floyd	United States	65-66-70-70=271	–17	40,000
2	Ben Crenshaw	United States	70-70-72-67=279	–9	25,000
T3	Jack Nicklaus	United States	67-69-73-73=282	–6	16,250
T3	Larry Ziegler	United States	67-71-72-72=282	–6	16,250
T5	Charles Coody	United States	72-69-70-74=285	–3	11,167
T5	Hale Irwin	United States	71-77-67-70=285	–3	11,167
T5	Tom Kite	United States	73-67-72-73=285	–3	11,167
8	Billy Casper	United States	71-76-71-69=287	-1	8,000
T9	Roger Maltbie	United States	72-75-70-71=288	E	6,000
T9	Graham Marsh	Australia	73-68-75-72=288	E	6,000
T9	Tom Weiskopf	United States	73-71-70-74=288	E	6,000
