Name	Nationality	Position	Athletica career	Appearances	Starts	Minutes	Goals	Assists
Eniola Aluko Category:Articles with hCards	England	FW	2009–	19	17	1503	6	4
Lori Chalupny Category:Articles with hCards	United States	MF	2009–	18	18	1575	2	1
Amanda Cinalli Category:Articles with hCards	United States	FW	2009	12	12	917	2	1
Niki Cross Category:Articles with hCards	United States	DF	2009	11	8	616	1	0
Daniela Category:Articles with hCards	Brazil	MF	2009	4	4	318	2	0
Tina Ellertson Category:Articles with hCards	United States	DF	2009–	20	20	1748	0	0
Kendall Fletcher Category:Articles with hCards	United States	DF	2009–	16	15	1338	0	3
Francielle Category:Articles with hCards	Brazil	MF	2009	6	3	323	0	0
Sheree Gray Category:Articles with hCards	United States	DF	2009	5	1	144	0	0
Kerri Hanks Category:Articles with hCards	United States	FW	2009	10	6	573	1	1
Erin Kane Category:Articles with hCards	United States	GK	2009	0	0	0	0	0
Sara Larsson Category:Articles with hCards	Sweden	DF	2009	15	12	1047	0	0
Stephanie Logterman Category:Articles with hCards	United States	DF	2009–	13	8	870	0	0
Jillian Loyden Category:Articles with hCards	United States	GK	2009–	3	3	270	0	0
Kia McNeill Category:Articles with hCards	United States	DF	2009–	19	17	1405	0	0
Ashlee Pistorius Category:Articles with hCards	United States	FW	2009	4	0	52	0	0
Hope Solo Category:Articles with hCards	United States	GK	2009–	17	17	1530	0	0
Lisa Stoia Category:Articles with hCards	United States	MF	2009	12	9	863	0	0
Melissa Tancredi Category:Articles with hCards	Canada	FW	2009	14	9	824	0	2
Lydia Vandenbergh Category:Articles with hCards	United States	MF	2009	0	0	0	0	0
Sarah Walsh Category:Articles with hCards	Australia	FW	2009	6	2	250	0	1
Erin Walter Category:Articles with hCards	United States	MF	2009	6	0	192	0	0
Elise Weber Category:Articles with hCards	United States	DF	2009–	18	14	1279	1	0
Christie Welsh Category:Articles with hCards	United States	FW	2009	11	7	591	3	0
