Stage	Winner	General classification	Points classification	Mountains classification	Sprints classification	Team classification
1	Ind Ant-Idea-Fla-Lot De Medellín	Sergio Luis Henao	no award	no award	no award	Ind Ant-Idea-Fla-Lot De Medellín
2	Jaime Castañeda	Óscar Sevilla	Jaime Castañeda	Jaime Vergara	Camilo Gómez	Ind Ant-Idea-Fla-Lot De Medellín
3	Jairo Pérez	Jairo Pérez	Jaime Castañeda	Jaime Vergara	Julian Lopez	Ind Ant-Idea-Fla-Lot De Medellín
4	Sergio Luis Henao	Óscar Sevilla	Óscar Sevilla	Jaime Vergara	Julian Lopez	Ind Ant-Idea-Fla-Lot De Medellín
5	Fabio Duarte	Óscar Sevilla	Óscar Sevilla	Jaime Vergara	Julian Lopez	Ind Ant-Idea-Fla-Lot De Medellín
6	Luis Felipe Laverde	Óscar Sevilla	Óscar Sevilla	Jaime Vergara	Jaime Suaza	Ind Ant-Idea-Fla-Lot De Medellín
7	Freddy Gonzalez	Óscar Sevilla	Óscar Sevilla	Jaime Vergara	Camilo Gómez	Col es Pasion Café De Colombia 472
8	Diego Calderón	Óscar Sevilla	Óscar Sevilla	Oscar Solis	Juan Alejandro Garcia	Ind Ant-Idea-Fla-Lot De Medellín
9	José Rujano	Sergio Luis Henao	Sergio Luis Henao	Oscar Solis	Juan Alejandro Garcia	Ind Ant-Idea-Fla-Lot De Medellín
10	Sergio Luis Henao	Sergio Luis Henao	Sergio Luis Henao	Oscar Solis	Juan Alejandro Garcia	EPM-UNE
11	Jaime Vergara	Sergio Luis Henao	Sergio Luis Henao	Oscar Solis	Juan Alejandro Garcia	EPM-UNE
12	Fabio Duarte	Sergio Luis Henao	Sergio Luis Henao	Oscar Solis	Juan Alejandro Garcia	Col es Pasion Café De Colombia 472
13	Javier Gonzalez	Sergio Luis Henao	Sergio Luis Henao	José Rujano	Juan Alejandro Garcia	EPM-UNE
