Date	Opponent	Score	Loss	Save
May 1	Giants	4 - 3	Garrelts (0-1)	|| 14,490 ||13-6||
May 3	Padres	6 - 5	Sutcliffe (3-3)	Gossage (7)
May 4	Padres	12 - 8	Booker (0-1)	Smith (6)
May 5	Padres	6 - 3	DeLeón (0-2)	|| 36,388 ||15-7||
May 6	Dodgers	5 - 4 10	Fontenot (0-1)	|| 20,796 ||15-8||
May 7	Dodgers	4 - 2	Brennan (1-2)	Smith (7)
May 8	@ Giants	1 - 0	Krukow (2-2)	|| 16,134 ||17-8||
May 9	@ Giants	1 - 0 12	Brusstar (0-1)	|| 11,825 ||17-9||
May 10	@ Padres	6 - 2	Hoyt (2-3)	Smith (8)
May 11	@ Padres	3 - 1	Eckersley (4-2)	Gossage (8)
May 12	@ Padres	5 - 3	Ruthven (1-2)	Gossage (9)
May 14	@ Dodgers	8 - 3	Valenzuela (3-4)	|| 48,187 ||19-11||
May 15	@ Dodgers	3 - 2	Honeycutt (2-3)	Smith (9)
May 17	@ Braves	7 - 5	Sutter (2-1)	|| 20,901 ||21-11||
May 18	@ Braves	4 - 3	Eckersley (4-3)	Sutter (7)
May 19	@ Braves	3 - 0	Sutcliffe (5-4)	Sutter (8)
May 20	Reds	6 - 1	Tibbs (3-6)	|| 21,231 ||22-13||
May 21	Reds	5 - 2	Frazier (2-1)	Power (8)
May 22	Reds	7 - 4	Browning (4-3)	Smith (10)
May 24	Astros	6 - 2	Ruthven (1-3)	|| 35,743 ||23-15||
May 25	Astros	5 - 4	Ross (0-1)	|| 36,278 ||24-15||
May 26	Astros	10 - 8	Ross (0-2)	Smith (11)
May 27	@ Reds	4 - 3	Browning (4-4)	Smith (12)
May 28	@ Reds	13 - 11	Sorensen (1-1)	|| 15,121 ||26-16||
May 29	@ Reds	1 - 0	Ruthven (1-4)	|| 18,402 ||26-17||
May 31	@ Astros	6 - 2 10	Smith (4-2)	|| 33,440 ||27-17||
