No.	Title	Directed by	Written by	Original air date	Production code	Viewers (in millions)
1	"Pilot"	Todd Holland	Greg Bratman & Tommy Dewey	March11,2010 (CAN) March14,2010 (US)	1ARK79	4.514
2	"The Break-In"	Todd Holland	Adam Chase	March18,2010 (CAN) March21,2010 (US)	1ARK02	3.899
3	"Golden Ticket"	Fred Savage	Kristi Korzec & Robin Shorr	March25,2010 (CAN) March28,2010 (US)	1ARK11	4.140
4	"Family Album"	Todd Holland	Matthew Carlson	April1,2010 (CAN) April4,2010 (US)	1ARK01	3.133
5	"Chicken Pox"	Tamara Davis	Andy Bobrow	June6,2010	1ARK04	1.945
6	"The Debate Trip"	Kevin Dowling	Andy Bobrow	June13,2010	1ARK10	1.982
7	"Father's Day"	Reginald Hudlin	Greg Bratman & Tommy Dewey	June20,2010	1ARK09	1.395
8	"Gina"	Peter Lauer	Matthew Carlson	June27,2010	1ARK06	1.360
9	"Dog Days of Tucson"	Peter Lauer	Michael Glouberman	July4,2010	1ARK05	1.120
10	"Kisses and Beads"	Peter Lauer	Greg Bratman & Tommy Dewey	July11,2010	1ARK03	1.617
11	"Glenn's Birthday"	Kevin Dowling	Adam Chase	July18,2010	1ARK07	1.510
12	"Sally Teel"	Todd Holland	Michael Glouberman	July25,2010	1ARK08	1.480
