Rank	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total(min. 2 medals)
1	Usain Bolt Category:Articles with hCards	Jamaica (JAM)	2008–2012	2	0	0	2
2	Andy Stanfield Category:Articles with hCards	United States (USA)	1952–1956	1	1	0	2
2	Carl Lewis Category:Articles with hCards	United States (USA)	1984–1988	1	1	0	2
2	Shawn Crawford Category:Articles with hCards	United States (USA)	2004–2008	1	1	0	2
5	Don Quarrie Category:Articles with hCards	Jamaica (JAM)	1976–1980	1	0	1	2
5	Pietro Mennea Category:Articles with hCards	Italy (ITA)	1972–1980	1	0	1	2
7	Charlie Paddock Category:Articles with hCards	United States (USA)	1920–1924	0	2	0	2
7	Frankie Fredericks Category:Articles with hCards	Namibia (NAM)	1992–1996	0	2	0	2
9	Nate Cartmell Category:Articles with hCards	United States (USA)	1904–1908	0	1	1	2
9	Thane Baker Category:Articles with hCards	United States (USA)	1952–1956	0	1	1	2
