State	Interview	Swimsuit	Evening gown	Average
Alabama	8.33	8.03	8.38	8.247
Alaska	7.86	7.27	7.64	7.590
Arizona	8.30	7.96	8.33	8.197
Arkansas	8.96	7.67	7.76	8.130
California	8.30	8.34	8.39	8.343
Colorado	7.91	6.97	7.51	7.463
Connecticut	7.70	7.77	8.13	7.867
Delaware	8.29	7.24	7.74	7.757
District of Columbia	7.70	8.19	8.10	7.997
Florida	8.63	7.57	8.31	8.170
Georgia	8.26	7.30	7.71	7.757
Hawaii	7.79	8.50	8.84	8.377
Idaho	8.46	7.19	8.38	8.010
Illinois	8.57	8.17	8.19	8.310
Indiana	8.29	7.43	7.91	7.877
Iowa	7.97	7.90	7.74	7.870
Kansas	8.77	8.17	8.31	8.417
Kentucky	7.93	8.16	7.81	7.967
Louisiana	7.91	7.63	8.03	7.857
Maine	7.60	7.96	7.59	7.717
Maryland	8.33	7.57	7.86	7.920
Massachusetts	7.99	7.40	7.30	7.563
Michigan	8.09	8.30	8.14	8.177
Minnesota	8.04	7.69	7.27	7.667
Mississippi	8.09	7.73	8.31	8.043
Missouri	7.64	7.70	7.85	7.730
Montana	7.66	7.41	7.24	7.437
Nebraska	8.13	7.39	7.72	7.747
Nevada	8.20	7.53	7.08	7.603
New Hampshire	8.26	8.14	7.90	8.100
New Jersey	8.66	8.17	7.94	8.257
New Mexico	8.06	7.76	7.41	7.743
New York	8.64	8.13	8.24	8.337
North Carolina	8.40	8.23	7.94	8.190
North Dakota	8.23	7.89	7.93	8.017
Ohio	8.27	7.19	7.37	7.610
Oklahoma	8.17	8.56	8.44	8.390
Oregon	8.63	8.06	8.00	8.230
Pennsylvania	8.49	7.67	8.00	8.053
Rhode Island	7.86	6.89	7.33	7.360
South Carolina	7.77	7.87	8.06	7.900
South Dakota	8.07	8.12	7.91	8.033
Tennessee	7.80	8.47	8.25	8.173
Texas	8.09	7.56	7.53	7.727
Utah	8.53	7.86	8.15	8.180
Vermont	8.13	7.31	7.60	7.680
Virginia	8.57	7.88	7.77	8.073
Washington	8.20	7.47	7.57	7.747
West Virginia	8.04	7.69	7.66	7.797
Wisconsin	8.06	7.53	7.93	7.840
Wyoming	7.76	7.21	7.35	7.440
