Country	Series Programmes	Series Seasons Programmes	Television channel	Television network	Series premiere	Series end	Status	Available
Malaysia	Cinta Fitri ( Malaysia )	Cinta Fitri 3	Astro Prima & Astro Ria	Astro (subsidiary of Astro Holdings Sdn Bhd )	October1,2012	December31,2012	Rerun	International
Malaysia	Cinta Fitri ( Malaysia )	Cinta Fitri 4	Astro Pelangi & Astro Bintang	Astro (subsidiary of Astro Holdings Sdn Bhd )	October1,2012	December31,2012	Rerun	International
Singapore	Cinta Fitri ( Singapore )	Cinta Fitri 1	MediaCorp TV12 Suria	MediaCorp TV12 (subsidiary of MediaCorp )	January1,2008	August7,2008	Rerun	International
Singapore	Cinta Fitri ( Singapore )	Cinta Fitri 2	MediaCorp TV Channel 5 & MediaCorp TV HD5	MediaCorp TV (subsidiary of MediaCorp )	April1,2012	September18,2012	Rerun	International
Singapore	Cinta Fitri ( Singapore )	Cinta Fitri 5-7	MediaCorp TV Channel 5 & MediaCorp TV HD5	MediaCorp TV (subsidiary of MediaCorp )	September19,2012	December31,2012	Rerun	International
Singapore	Cinta Fitri ( Singapore )	Cinta Fitri 3	Sensasi	StarHub TV (subsidiary of StarHub )	January1,2010	July9,2010	Rerun	International
Singapore	Cinta Fitri ( Singapore )	Cinta Fitri 4	Astro Aruna	mio TV (subsidiary of SingTel )	August11,2010	November28,2010	Rerun	International
Brunei	Cinta Fitri ( Brunei )	Cinta Fitri 1	RTB1 National (News)	Radio Televisyen Brunei	April2,2007	November5,2007	Rerun	International
Brunei	Cinta Fitri ( Brunei )	Cinta Fitri 2	RTB4 International (Satellite)	Radio Televisyen Brunei	August8,2008	August23,2008	Rerun	International
Brunei	Cinta Fitri ( Brunei )	Cinta Fitri 5-7	RTB4 International (Satellite)	Radio Televisyen Brunei	January11,2010	May8,2011	Rerun	International
Brunei	Cinta Fitri ( Brunei )	Cinta Fitri 3	RTB2 National (Entertainment)	Radio Televisyen Brunei	November12,2008	April12,2009	Rerun	International
