Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	7-8-1 (1)	Zorobabel Moreira	TKO (knees to the body and punches)	ONE Fighting Championship: Champion vs. Champion	2	1:59	Kallang , Singapore
NC	7-7-1 (1)	Eddie Rincon	No Contest (accidental eye poke)	UIC MMA: Wang vs. Rincon	3	1:00	Hilo, Hawaii , United States
Draw	7-7-1	Atsuhiro Tsuboi	Draw	Art of War 14: Ground Zero	3	5:00	Macau , China
Win	7-7	Josh Ramage	TKO (punches)	Gladiator Challenge: High Impact	1	1:16	Pauma Valley, California , United States
Win	6-7	Shawn Sherril	TKO (punches)	Gladiator Challenge: Venom	1	1:08	Pauma Valley, California , United States
Loss	5-7	Cole Miller	TKO (head kick and punches)	The Ultimate Fighter 5 Finale	1	1:10	Las Vegas, Nevada , United States
Win	5-6	Jamal Perkins	Decision (unanimous)	Extreme Wars 3: Bay Area Brawl	3	5:00	Oakland, California , United States
Win	4-6	Jimmy Smith	Decision (split)	Total Fighting Alliance 2	N/A	N/A	Carson, California , United States
Loss	3-6	Takafumi Ito	Decision (split)	Pancrase: Spiral 10	3	5:00	Tokyo , Japan
Loss	3-5	Eric Heinz	Decision (split)	WFC: Fight Club	3	3:00	Loveland, Colorado , United States
Win	3-4	Gabriel Casillas	Decision	XCF 2: Havoc in Havasu 1	3	3:00	Lake Havasu, Arizona , United States
Loss	2-4	Deshaun Johnson	Decision (majority)	SuperBrawl 28	3	5:00	Honolulu, Hawaii , United States
Loss	2-3	Hiroshi Tsuruya	Decision (unanimous)	SuperBrawl 23	3	5:00	Honolulu, Hawaii , United States
Win	2-2	Jay R. Palmer	Submission (rear-naked choke)	Warriors Quest 1: The New Beginning	1	4:15	Honolulu, Hawaii , United States
Loss	1-2	Akihiro Gono	Decision (unanimous)	Shooto: R.E.A.D. 5	3	5:00	Tokyo , Japan
Loss	1-1	Jay Martinez	Decision (split)	SuperBrawl 16	2	5:00	Honolulu, Hawaii , United States
Win	1-0	Bob Ostovich	Decision (split)	SuperBrawl 16	2	5:00	Honolulu, Hawaii , United States
