Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	4 March 2007	Wolfsburg , Germany	Carpet (i)	Robin Haase	2–6, 6–3, 1–6
Runner-up	24 June 2007	Almaty , Kazakhstan	Clay	Simon Greul	4–6, 2–6
Winner	3 August 2008	Timişoara , Romania	Clay	Daniel Muñoz-de la Nava	6–4, 7–6 (7–0)
Winner	8 November 2009	Eckental , Germany	Carpet (i)	Dustin Brown	6–4, 6–4
Winner	11 April 2010	Monza , Italy	Clay	Pablo Andújar	6–7 (4–7) , 6–3, 6–4
Runner-up	2 May 2010	Tunis , Tunisia	Clay	José Acasuso	3–6, 4–6
Runner-up	30 January 2011	Heilbronn , Germany	Hard (i)	Bastian Knittel	6–7 (4–7) , 6–7 (5–7)
Winner	10 July 2011	Oberstaufen , Germany	Clay	Andreas Beck	6–4, 7–6 (7–3)
Winner	27 November 2011	Helsinki , Finland	Hard	Matthias Bachinger	7–6 (7–2) , 7–6 (7–5)
Winner	4 November 2012	Eckental , Germany	Carpet	Ernests Gulbis	7–6 (7–0) , 6–3
