Week	Date	Opponent	Result	Attendance
1	September 15, 1974	at New York Giants	W 13-10	49,849
2	September 22, 1974	St. Louis Cardinals	L 17-10	53,888
3	September 30, 1974	Denver Broncos	W 30-3	54,395
4	October 6, 1974	at Cincinnati Bengals	L 28-17	56,175
5	October 13, 1974	Miami Dolphins	W 20-17	54,395
6	October 20, 1974	New York Giants	W 24-3	53,879
7	October 27, 1974	at St. Louis Cardinals	L 23-20	49,410
8	November 3, 1974	at Green Bay Packers	W 17-6	56,267
9	November 10, 1974	at Philadelphia Eagles	W 27-20	65,947
10	November 17, 1974	Dallas Cowboys	W 28-21	54,395
11	November 24, 1974	Philadelphia Eagles	W 26-7	54,395
12	November 28, 1974	at Dallas Cowboys	L 24-23	63,243
13	December 9, 1974	at Los Angeles Rams	W 23-17	87,313
14	December 15, 1974	Chicago Bears	W 42-0	52,085
