Week	Date	Opponent	Result	Kickoff [a ]	Game site	TV	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	TV	Attendance	Record
1	September 8, 1985	at Chicago Bears	L 38-28	1:00	Soldier Field	CBS	57,828	0-1
2	September 15, 1985	Minnesota Vikings	L 31-16	4:00	Tampa Stadium	CBS	46,188	0-2
3	September 22, 1985	at New Orleans Saints	L 20-13	1:00	Louisiana Superdome	CBS	45,320	0-3
4	September 29, 1985	at Detroit Lions	L 30-9	1:00	Pontiac Silverdome	CBS	45,023	0-4
5	October 6, 1985	Chicago Bears	L 27-19	1:00	Tampa Stadium	CBS	51,795	0-5
6	October 13, 1985	Los Angeles Rams	L 31-27	1:00	Tampa Stadium	CBS	39,607	0-6
7	October 20, 1985	at Miami Dolphins	L 41-38	4:00	Orange Bowl	CBS	62,335	0-7
8	October 27, 1985	New England Patriots	L 32-14	1:00	Tampa Stadium	NBC	34,661	0-8
9	November 3, 1985	at New York Giants	L 22-20	1:00	Giants Stadium	CBS	72,031	0-9
10	November 10, 1985	St. Louis Cardinals	W 16-0	1:00	Tampa Stadium	CBS	34,736	1-9
11	November 17, 1985	at New York Jets	L 62-28	1:00	The Meadowlands	CBS	65,344	1-10
12	November 24, 1985	Detroit Lions	W 19-16 OT	1:00	Tampa Stadium	CBS	43,471	2-10
13	December 1, 1985	at Green Bay Packers	L 21-0	1:00	Lambeau Field	CBS	19,856	2-11
14	December 8, 1985	at Minnesota Vikings	L 26-7	4:00	Hubert H. Humphrey Metrodome	CBS	51,593	2-12
15	December 15, 1985	Indianapolis Colts	L 31-23	1:00	Tampa Stadium	NBC	25,577	2-13
