Team	Class	Chassis	Engine	Driver
Safe Fire Electrical	Rotax Heavy	Viper	Rotax Max	Ron Goldfinch
Jones Kart Developments Viper Superkarts	Rotax Light	Viper	Rotax Max	Shaun Jones
Jones Kart Developments Viper Superkarts	Rotax Light	Viper	Rotax Max	Tim Scarman
BF Racing Marron Excavations	Rotax Heavy	Monaco	Rotax Max	Colin McIntyre
BF Racing Marron Excavations	Rotax Light	Arrow	Rotax Max	Jason McIntyre
BF Racing Marron Excavations	Rotax Heavy	Monaco	Rotax Max	Gerad McLeod
BF Racing Marron Excavations	Rotax Heavy	Monaco	Rotax Max	Lee Filliponi
BF Racing Marron Excavations	Rotax Heavy	Arrow	Rotax Max	Matthew Palmer
Ian Williams Tuning	Rotax Heavy	Arrow	Rotax Max	Greg Stillwell
Ian Williams Tuning	Rotax Heavy	Arrow	Rotax Max	Ian Williams
Ian Williams Tuning	Rotax Junior	Arrow	Rotax Junior Max	Rhys Newman
Ian Williams Tuning	Rotax Junior	Arrow	Rotax Junior Max	Brandon Stillwell
Ian Williams Tuning	Rotax Heavy	Omega	Rotax Max	Ryan Felmingham
Ian Williams Tuning	Rotax Light	Arrow	Rotax Max	Michael Rogers
McLaughlin Freight Lines P/L	Rotax Heavy	Hypermax Phoenix	Rotax Max	Chris Jewell
Guards Australia	Rotax Heavy	Arrow	Rotax Max	Alan Dodge
TWR Raceline Seating	Rotax Heavy	Arrow	Rotax Max	Rod Clarke
Badboy Power Drink	Rotax Heavy	Hypermax Phoenix	Rotax Max	Leigh Cavallin
Suburban Accounting	Rotax Light	Hypermax Phoenix	Rotax Max	Kristian Stebbing
Suburban Accounting	Rotax Light	Azzurro	Rotax Max	Brad Stebbing
AMG Racing	Rotax Junior	Arrow	Rotax Junior Max	Mitchell Abbott
Specialist Doors & Windows	Rotax Light	Arrow	Rotax Max	Shaun Pannowitch
Specialist Doors & Windows	Rotax Light	Viper	Rotax Max	Matthew Pannowitch
NEC Automotive	Rotax Heavy	Allkart	Rotax Max	Greg Bass
Brendan Luneman	Rotax Heavy	CRG	Rotax Max	Brendan Luneman
Impact Flags & Banners	Rotax Light	Arrow	Rotax Max	Colin Moore
Byrnbox Home Theatre PCs	Rotax Heavy	Monaco	Rotax Max	David Byrne
Rockett Race Engines	Rotax Light	Birel	Rotax Max	Darren Tyler
Racecentre	Rotax Junior	Arrow	Rotax Junior Max	David Webster
Racecentre	Rotax Light	Arrow	Rotax Max	Peter Strangis
www.kartsportnews.com	Rotax Heavy	Hypermax Phoenix	Rotax Max	Mark Wicks
Doug Savage	Rotax Light	Arrow	Rotax Max	Doug Savage
Race Stickerz Toyota Material Handling	Rotax Heavy	Techno	Rotax Max	Scott Appledore
Wild Digital	Rotax Junior	Hypermax Phoenix	Rotax Junior Max	Sean Whitfield
John Bartlett	Rotax Heavy	Hypermax Phoenix	Rotax Max	John Bartlett
