Position	Player	Premiership	Norwegian Cup	UEFA	Total
GK	Johan Thorbjørnsen	3 (0)	0 (0)	0 (0)	3 (0)
GK	Håkon Opdal	19 (0)	3 (0)	2 (0)	28 (0)
GK	Kenneth Udjus	6 (0)	1 (0)	2 (0)	9 (0)
DF	Bjørn Dahl	22 (0)	3 (0)	4 (0)	33 (0)
DF	Erlend Hanstveit	26 (0)	3 (1)	4 (0)	35 (1)
DF	Ólafur Örn Bjarnason	22 (4)	3 (1)	4 (1)	33 (6)
DF	Kristján Örn Sigurðsson	20 (1)	1 (0)	4 (0)	28 (2)
DF	Michael Thwaite	2 (0)	1 (0)	1 (0)	4 (0)
DF	Yaw Ihle Amankwah	4 (0)	1 (0)	0 (0)	5 (0)
DF / MF	Birkir Sævarsson	8 (1)	0 (0)	1 (0)	11 (1)
DF / FW	Azar Karadas	21 (3)	4 (0)	3 (0)	32 (3)
DF / FW	Ármann Smári Björnsson	8 (0)	2 (0)	2 (0)	13 (1)
DF / MF	Cato Guntveit	13 (0)	2 (0)	1 (0)	17 (0)
MF	Rodolph Austin	9 (1)	0 (0)	2 (0)	11 (1)
MF	Hassan El Fakiri	17 (0)	3 (0)	2 (0)	26 (0)
MF	Gylfi Einarsson	14 (3)	2 (0)	2 (0)	20 (3)
MF	Jan Gunnar Solli	23 (1)	4 (0)	4 (1)	33 (2)
MF	Petter Vaagan Moen	23 (3)	2 (0)	4 (1)	32 (4)
MF	Erik Huseklepp	19 (3)	4 (0)	4 (0)	31 (3)
MF	Tijan Jaiteh	15 (1)	3 (0)	1 (0)	22 (1)
MF	Eirik Bakke	21 (0)	1 (0)	3 (0)	28 (0)
MF	Nicolai Misje	0 (0)	2 (0)	0 (0)	2 (0)
MF / FW	Trond Fredrik Ludvigsen	7 (0)	3 (1)	0 (0)	11 (1)
FW	Demba-Nyrén	17 (3)	2 (1)	2 (0)	25 (5)
FW	Thorstein Helstad	12 (11)	1 (2)	2 (0)	15 (13)
FW	Mathias Møvik	1 (0)	1 (0)	0 (0)	2 (0)
FW	Robbie Winters	18 (1)	4 (3)	2 (0)	27 (4)
