Rider	Manufacturer	Laps	Time/Retired	Grid
Lukáš Pešek	Derbi	23	38:03.020	3
Joan Olivé	Aprilia	23	+0.090	8
Héctor Faubel	Aprilia	23	+0.190	6
Simone Corsi	Aprilia	23	+0.405	5
Esteve Rabat	Honda	23	+0.915	11
Tomoyoshi Koyama	KTM	23	+1.315	4
Mattia Pasini	Aprilia	23	+1.316	1
Gábor Talmácsi	Aprilia	23	+1.371	9
Sergio Gadea	Aprilia	23	+1.457	7
Sandro Cortese	Aprilia	23	+14.652	10
Pol Espargaró	Aprilia	23	+21.745	17
Randy Krummenacher	KTM	23	+22.687	20
Nicolás Terol	Derbi	23	+26.491	19
Mike Di Meglio	Honda	23	+26.563	12
Stevie Bonsey	KTM	23	+37.823	18
Bradley Smith	Honda	23	+37.981	13
Joey Litjens	Honda	23	+40.406	23
Lorenzo Zanetti	Aprilia	23	+40.453	14
Dominique Aegerter	Aprilia	23	+44.271	28
Andrea Iannone	Aprilia	23	+44.831	22
Simone Grotzkyj	Aprilia	23	+51.482	24
Michael Ranseder	Derbi	23	+1:01.153	15
Roberto Tamburini	Aprilia	23	+1:03.614	29
Dino Lombardi	Honda	23	+1:18.524	27
Ferruccio Lamborghini	Aprilia	23	+1:37.558	30
Glenn Scott	Aprilia	22	+1 Lap	31
Stefan Bradl	Aprilia	19	Retirement	26
Pablo Nieto	Aprilia	17	Retirement	16
Alexis Masbou	Honda	15	Accident	21
Danny Webb	Honda	13	Accident	25
Raffaele de Rosa	Aprilia	5	Retirement	2
