Date	Visitor	Score	Home	Record
October 14	Boston Bruins	0–3	Chicago Black Hawks	1–0–0
October 17	Detroit Red Wings	2–4	Chicago Black Hawks	2–0–0
October 18	Chicago Black Hawks	2–3	Detroit Red Wings	2–1-0
October 21	Chicago Black Hawks	5–5	Montreal Canadiens	2–1–1
October 25	Chicago Black Hawks	5–2	New York Rangers	3–1–1
October 27	Toronto Maple Leafs	3–2	Chicago Black Hawks	3–2–1
October 31	Chicago Black Hawks	1–5	Toronto Maple Leafs	3–3–1
November 1	Chicago Black Hawks	2–5	Boston Bruins	3–4–1
November 3	New York Rangers	1–2	Chicago Black Hawks	4–4–1
November 7	Chicago Black Hawks	3–1	Montreal Canadiens	5–4–1
November 8	Chicago Black Hawks	2–3	Boston Bruins	5–5–1
November 11	Montreal Canadiens	4–1	Chicago Black Hawks	5–6–1
November 15	Toronto Maple Leafs	2–4	Chicago Black Hawks	6–6–1
November 18	Detroit Red Wings	1–3	Chicago Black Hawks	7–6–1
November 21	Chicago Black Hawks	0–1	Toronto Maple Leafs	7–7–1
November 22	Montreal Canadiens	2–6	Chicago Black Hawks	8–7–1
November 26	Toronto Maple Leafs	4–2	Chicago Black Hawks	8–8–1
November 29	Boston Bruins	4-3	Chicago Black Hawks	8–9–1
December 2	Chicago Black Hawks	3–3	New York Rangers	8–9–2
December 5	Chicago Black Hawks	3–5	Montreal Canadiens	8–10–2
December 6	New York Rangers	4–1	Chicago Black Hawks	8–11–2
December 9	Chicago Black Hawks	6–1	New York Rangers	9–11–2
December 10	Chicago Black Hawks	5–1	Boston Bruins	10–11–2
December 12	Chicago Black Hawks	3–2	Detroit Red Wings	11–11–2
December 13	Detroit Red Wings	0–5	Chicago Black Hawks	12–11–2
December 15	Boston Bruins	5-7	Chicago Black Hawks	13–11–2
December 19	Chicago Black Hawks	6–3	Montreal Canadiens	14–11–2
December 20	Chicago Black Hawks	3-2	Boston Bruins	15–11–2
December 25	Toronto Maple Leafs	3–3	Chicago Black Hawks	15–11–3
December 26	Chicago Black Hawks	5–3	Toronto Maple Leafs	16–11–3
December 27	Boston Bruins	2–6	Chicago Black Hawks	17–11–3
December 29	Chicago Black Hawks	4–2	New York Rangers	18–11–3
December 31	Chicago Black Hawks	1–1	Detroit Red Wings	18–11–4
January 1	New York Rangers	1–2	Chicago Black Hawks	19–11–4
January 3	Montreal Canadiens	2–1	Chicago Black Hawks	19–12–4
January 6	Toronto Maple Leafs	3-1	Chicago Black Hawks	19–13–4
January 9	Chicago Black Hawks	7–4	Detroit Red Wings	20–13–4
January 10	Detroit Red Wings	2–3	Chicago Black Hawks	21–13–4
January 13	Chicago Black Hawks	0–0	Toronto Maple Leafs	21–13–5
January 16	New York Rangers	6–3	Chicago Black Hawks	21–14–5
January 17	Montreal Canadiens	4–2	Chicago Black Hawks	21–15–5
January 20	Boston Bruins	1–7	Chicago Black Hawks	22-15–5
January 24	New York Rangers	2–7	Chicago Black Hawks	23–15–5
January 27	Chicago Black Hawks	0–2	Montreal Canadiens	23–16–5
January 28	Chicago Black Hawks	6–2	Boston Bruins	24–16–5
January 30	Chicago Black Hawks	1–3	Detroit Red Wings	24–17–5
January 31	Montreal Canadiens	0–3	Chicago Black Hawks	25–17–5
February 3	Chicago Black Hawks	4–1	New York Rangers	26–17–5
February 6	Chicago Black Hawks	6–3	Toronto Maple Leafs	27–17–5
February 7	Toronto Maple Leafs	2–1	Chicago Black Hawks	27–18–5
February 10	Detroit Red Wings	2–5	Chicago Black Hawks	28–18–5
February 11	Chicago Black Hawks	3–5	Detroit Red Wings	28–19–5
February 13	Chicago Black Hawks	3–0	New York Rangers	29–19–5
February 14	Montreal Canadiens	2–2	Chicago Black Hawks	29–19–6
February 17	New York Rangers	4–5	Chicago Black Hawks	30–19–6
February 20	Chicago Black Hawks	3–4	Toronto Maple Leafs	30–20–6
February 21	Boston Bruins	0–7	Chicago Black Hawks	31–20–6
February 24	Detroit Red Wings	2–3	Chicago Black Hawks	32–20–6
February 27	Chicago Black Hawks	3–3	Montreal Canadiens	32–20–7
February 28	Boston Bruins	5–4	Chicago Black Hawks	32–21–7
March 3	Detroit Red Wings	2–0	Chicago Black Hawks	32–22–7
March 6	Chicago Black Hawks	1–4	Toronto Maple Leafs	32–23–7
March 7	Montreal Canadiens	0–7	Chicago Black Hawks	33–23–7
March 10	Chicago Black Hawks	1–1	New York Rangers	33–23–8
March 14	Toronto Maple Leafs	3–5	Chicago Black Hawks	34–23–8
March 17	Chicago Black Hawks	1–2	Boston Bruins	34–24–8
March 20	Chicago Black Hawks	2–3	Montreal Canadiens	34–25–8
March 21	Chicago Black Hawks	1–5	Detroit Red Wings	34–26–8
March 23	New York Rangers	3–2	Chicago Black Hawks	34–27–8
March 28	Chicago Black Hawks	1–3	Boston Bruins	34–28–8
