Date	Venue	Score	Result	Competition
25 May 2008	Azadi Stadium , Tehran	2-0	3-2	International Match
14 June 2008	Abbasiyyin Stadium , Damascus	1-0	2-0	2010 FIFA World Cup qualification
22 June 2008	Azadi Stadium , Tehran	2-0	2-0	2010 FIFA World Cup qualification
7 August 2008	Takhti Stadium , Tehran	2-0	3-0	2008 WAFF
13 August 2008	Takhti Stadium , Tehran	2-0	2-0	2008 WAFF
9 November 2008	Khalifa International Stadium , Doha	1-0	1-0	International Match
14 January 2009	Azadi Stadium , Tehran	3-0	6-0	2011 AFC Asian Cup qualification
6 January 2010	National Stadium, Singapore , Kallang	3-1	3-1	2011 AFC Asian Cup qualification
11 January 2011	Ahmed bin Ali Stadium , Al Rayyan	1-1	2-1	2011 Asian Cup
11 October 2011	Azadi Stadium , Tehran	6-0	6-0	2014 WCQ
15 November 2011	Gelora Bung Karno Stadium , Jakarta	3-0	4-1	2014 WCQ
