Pick	Player	Position	Nationality	NHL team	College/junior/club team
235	Rick Schuhwerk	Defence	United States	Ottawa Senators	Canterbury High School (HS-Connecticut)
236	Jeff Salajko	Goaltender	Canada	San Jose Sharks	Ottawa 67's (OHL)
237	Brett Duncan	Defence	Canada	Tampa Bay Lightning	Seattle Thunderbirds (WHL)
238	Anatoli Fedotov	Defence	Russia	Mighty Ducks of Anaheim	Krylja Sovetov (Russia)
239	John Demarco	Defence	United States	Florida Panthers	Archbishop Williams High School (HS-Massachusetts)
240	Wes Swinson	Defence	Canada	Hartford Whalers	Kitchener Rangers (OHL)
241	Oleg Maltsev	Left Wing	Russia	Edmonton Oilers	Chelyabinsk Traktor (Russia)
242	Andrei Kudinov	Centre	Russia	New York Rangers	Chelyabinsk Traktor (Russia)
243	Jordan Willis	Goaltender	Canada	Dallas Stars	London Knights (OHL)
244	Jeff Staples	Defence	Canada	Philadelphia Flyers	Brandon Wheat Kings (WHL)
245	Libor Prochazka	Defence	Czech Republic	St. Louis Blues	Kladno Poldi (Czech Republic)
246	Chris Davis	Goaltender	Canada	Buffalo Sabres	Calgary Royals (AJHL)
247	Jimmy Provencher	Right Wing	Canada	New Jersey Devils	St-Jean Lynx (QMJHL)
248	Stephane Larocque	Right Wing	Canada	New York Islanders	Sherbrooke Faucons (QMJHL)
249	Bill Lang	Centre	Canada	Dallas Stars	North Bay Centennials (OHL)
250	Kimmo Timonen	Defence	Finland	Los Angeles Kings	KalPa Kuopio (Finland)
251	Marc Seliger	Goaltender	Germany	Washington Capitals	Rosenheim Star Bulls (Germany)
252	German Titov	Centre	Russia	Calgary Flames	TPS Turku (Finland)
253	Kyle Ferguson	Right Wing	Canada	Toronto Maple Leafs	Michigan Technological University (NCAA)
254	Bert Robertsson	Defence	Sweden	Vancouver Canucks	Södertälje SK (Sweden)
255	Brian Larochelle	Goaltender	United States	Montreal Canadiens	Phillips-Exeter Academy (HS-New Hampshire)
256	Jamie Kosecki	Goaltender	United States	Detroit Red Wings	Berkshire High School (HS-Massachusetts)
257	Mark Pivetz	Defence	Canada	Quebec Nordiques	Saskatoon Titans ( SJHL )
258	Mike McGhan	Left Wing	Canada	Chicago Blackhawks	Prince Albert Raiders (WHL)
259	Joakim Persson	Goaltender	Sweden	Boston Bruins	Hammarby IK (Sweden)
260	Leonid Toropchenko	Centre	Russia	Pittsburgh Penguins	CSKA Moscow (Russia)
