Year (Ceremony)	Film title used in nomination	Spanish title	Director	Result
1990: (63rd)	The Moon in the Mirror	La Luna en el espejo	Silvio Caiozzi Category:Articles with hCards	Not Nominated
1991: (64th)	The Frontier	La Frontera	Ricardo Larraín Category:Articles with hCards	Not Nominated
1993: (66th)	Johnny 100 Pesos	Johnny 100 Pesos	Gustavo Graef-Marino Category:Articles with hCards	Not Nominated
1994: (67th)	Amnesia	Amnesia	Gonzalo Justiniano Category:Articles with hCards	Not Nominated
2000: (73rd)	Coronation	Coronación	Silvio Caiozzi Category:Articles with hCards	Not Nominated
2001: (74th)	A Cab for Three	Taxi para tres	Orlando Lubbert Category:Articles with hCards	Not Nominated
2002: (75th)	Ogu and Mampato in Rapa Nui	Ogu y Mampato en Rapa Nui	Alejandro Rojas Category:Articles with hCards	Not Nominated
2003: (76th)	Los Debutantes	Los Debutantes	Andres Waissbluth Category:Articles with hCards	Not Nominated
2004: (77th)	Machuca	Machuca	Andrés Wood Category:Articles with hCards	Not Nominated
2005: (78th)	Play	Play	Alicia Scherson Category:Articles with hCards	Not Nominated
2006: (79th)	In Bed	En la cama	Matías Bize Category:Articles with hCards	Not Nominated
2007: (80th)	Padre Nuestro	Padre Nuestro	Rodrigo Sepúlveda Category:Articles with hCards	Not Nominated
2008: (81st)	Tony Manero	Tony Manero	Pablo Larrain Category:Articles with hCards	Not Nominated
2009: (82nd)	Dawson, Island 10	Dawson, Isla 10	Miguel Littín Category:Articles with hCards	Not Nominated
2010: (83rd)	The Life of Fish	La vida de los peces	Matías Bize Category:Articles with hCards	Not Nominated
2011: (84th)	Violeta Went to Heaven	Violeta se fue a los cielos	Andrés Wood Category:Articles with hCards	Not Nominated
2012: (85th)	No	No	Pablo Larraín Category:Articles with hCards	Nominee
