Locale	Skip	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Alberta	Randy Ferbey	48	43	7	9	86%
Manitoba	Randy Dutiaume	47	44	10	13	79%
Nova Scotia	Shawn Adams	47	41	16	13	83%
Quebec	Jean-Michel Ménard	54	40	8	15	80%
British Columbia	Deane Horning	47	45	18	12	80%
Ontario	Wayne Middaugh	42	46	10	7	82%
Newfoundland and Labrador	Brad Gushue	48	45	13	10	79%
Saskatchewan	Pat Simmons	43	45	12	9	80%
Prince Edward Island	Rod MacDonald	41	51	12	5	79%
Northern Ontario	Mike Jakubo	41	48	9	6	79%
New Brunswick	Wade Blanchard	41	45	17	8	78%
Yukon / Northwest Territories	Steve Moss	41	46	14	5	74%
