Outcome	Date	Surface	Partner	Opponents in the final	Score in the final
Runner-up	23 June 2007	Grass	Joshua Goodall	Eric Butorac Jamie Murray	6–4, 3–6, [5–10]
Winner	28 September 2008	Hard	Stephen Huss	Ashley Fisher Bobby Reynolds	7–5, 6–4
Runner-up	6 October 2008	Carpet (i)	Stephen Huss	Sergiy Stakhovsky Potito Starace	6–7 (4–7) , 6–2, [6–10]
Runner-up	26 October 2008	Carpet (i)	Stephen Huss	Michaël Llodra Andy Ram	3–6, 7–5, [8–10]
Runner-up	11 October 2009	Hard	Jordan Kerr	Julian Knowle Jürgen Melzer	2–6, 7–5, [8–10]
Runner-up	16 January 2010	Hard	Jordan Kerr	Daniel Nestor Nenad Zimonjić	3–6, 6–7 (5–7)
Runner-up	21 February 2010	Hard (i)	Jordan Kerr	John Isner Sam Querrey	4–6, 4–6
Winner	31 October 2010	Hard (i)	Stephen Huss	Marc López Eduardo Schwank	6–2, 4–6, [10–8]
Winner	30 October 2011	Hard (i)	Colin Fleming	Michail Elgin Alexander Kudryavtsev	6–3, 6–7 (5–7) , [10–8]
Winner	4 March 2012	Hard	Colin Fleming	Michal Mertiňák André Sá	2–6, 7–6 (7–5) , [15–13]
Winner	22 June 2012	Grass	Colin Fleming	Jamie Delgado Ken Skupski	6–4, 6–3
Runner-up	15 July 2012	Grass	Colin Fleming	Santiago González Scott Lipsky	6–7 (3–7) , 3–6
Runner-up	30 September 2012	Hard (i)	Colin Fleming	Alexander Peya Bruno Soares	7–5, 5–7, [7–10]
