Outcome	Date	Surface	Partnering	Opponent	Score
Runner-up	26 September 2005	Hard	Ashley Fisher	Lars Burgsmüller Philipp Kohlschreiber	6–5 (7–3) , 4–6, 2–6
Runner-up	6 March 2006	Hard	Jaroslav Levinský	Bob Bryan Mike Bryan	3–6, 2–6
Runner-up	24 July 2006	Clay	Yves Allegro	Gastón Gaudio Max Mirnyi	5–7, 7–6, [10–12]
Winner	24 September 2007	Hard	Jarkko Nieminen	Rohan Bopanna Aisam-ul-Haq Qureshi	7–6 (7–3) , 7–6 (7–5)
Winner	7 October 2007	Hard	Jordan Kerr	Frank Dancevic Steven Huss	6–4, 6–4
Winner	17 August 2008	Hard	Marc Gicquel	Bruno Soares Kevin Ullyett	7–6 (8–6) , 6–3
Winner	12 January 2009	Hard	Martin Damm	Scott Lipsky Leander Paes	7–5, 6–4
Winner	8 February 2009	Hard (i)	Martin Damm	Christopher Kas Rogier Wassen	6–4, 6–3
Runner-up	28 February 2009	Hard	Martin Damm	Rik de Voest Dmitry Tursunov	6–4, 3–6, [5–10]
Runner-up	10 May 2009	Clay	Martin Damm	Eric Butorac Scott Lipsky	3–6, 2–6
Runner-up	19 July 2009	Clay	Robin Söderling	Jaroslav Levinský Filip Polášek	6–1, 3–6, [7–10]
Winner	9 August 2009	Hard	Martin Damm	Mariusz Fyrstenberg Marcin Matkowski	7–5, 7–6 (7–3)
Runner-up	21 February 2010	Hard (i)	Julian Knowle	Julien Benneteau Michaël Llodra	3–6, 4–6
Winner	10 April 2010	Clay	Horia Tecău	Rohan Bopanna Aisam-ul-Haq Qureshi	6–2, 3–6, [10–7]
Runner-up	21 June 2010	Grass	Horia Tecău	Jürgen Melzer Philipp Petzschner	1–6, 5–7, 5–7
Winner	19 June 2010	Grass	Horia Tecău	Lukáš Dlouhý Leander Paes	1–6, 7–5, [10–7]
Winner	18 July 2010	Clay	Horia Tecău	Andreas Seppi Simone Vagnozzi	6–4, 7–5
Winner	28 August 2010	Hard	Horia Tecău	Rohan Bopanna Aisam-ul-Haq Qureshi	6–4, 7–5
Runner-up	9 January 2011	Hard	Horia Tecău	Lukáš Dlouhý Paul Hanley	4–6, ret.
Winner	9 April 2011	Clay	Horia Tecău	Colin Fleming Igor Zelenay	6–2, 6–1
Runner-up	18 June 2011	Grass	Horia Tecău	Daniele Bracciali František Čermák	3–6, 6–2, [8–10]
Runner-up	2 July 2011	Grass	Horia Tecău	Bob Bryan Mike Bryan	3–6, 4–6, 6–7 (2–7)
Winner	17 July 2011	Clay	Horia Tecău	Simon Aspelin Andreas Siljeström	6–3, 6–3
Runner-up	7 August 2011	Hard	Horia Tecău	Michaël Llodra Nenad Zimonjić	7–6 (9–7) , 6–7 (8–10) , [7–10]
Runner-up	9 October 2011	Hard	Horia Tecău	Michaël Llodra Nenad Zimonjić	6–7 (2–7) , 6–7 (4–7)
Runner-up	19 February 2012	Hard (i)	Horia Tecău	Michaël Llodra Nenad Zimonjić	6–4, 5–7, [14–16]
Winner	28 April 2012	Clay	Horia Tecău	Jérémy Chardy Łukasz Kubot	7–6 (7–2) , 6–3
Runner-up	13 May 2012	Clay (blue)	Horia Tecău	Mariusz Fyrstenberg Marcin Matkowski	3–6, 4–6
Winner	23 June 2012	Grass	Horia Tecău	Juan Sebastián Cabal Dmitry Tursunov	6–3, 7–6 (7–1)
Runner-up	8 July 2012	Grass	Horia Tecău	Jonathan Marray Frederik Nielsen	6–4, 4–6, 6–7 (5–7) , 7–6 (7–5) , 3–6
Winner	15 July 2012	Clay	Horia Tecău	Alexander Peya Bruno Soares	6–3, 7–6 (7–5)
Winner	19 August 2012	Hard	Horia Tecău	Mahesh Bhupathi Rohan Bopanna	6–4, 6–4
Runner-up	21 October 2012	Hard (i)	Nenad Zimonjić	Marcelo Melo Bruno Soares	7-6 (7-4) , 5-7, 6-10
Winner	17 February 2013	Hard (i)	Nenad Zimonjić	Thiemo de Bakker Jesse Huta Galung	5-7, 6-3, [10-8]
Runner-up	2 March 2013	Hard	Nenad Zimonjić	Mahesh Bhupathi Michaël Llodra	6-7 (6-8) , 6-7 (6-8)
Runner-up	28 April 2013	Clay	Daniel Nestor	Alexander Peya Bruno Soares	7-5, 6-7 (7-9) , [4-10]
Runner-up	20 October 2013	Hard (i)	Jonas Björkman	Aisam-ul-Haq Qureshi Jean-Julien Rojer	2-6, 2-6
