Road number	Traction	Builder	Built	Service	Wheels	Weight
1	Steam	Sächsiche Maschinenfabrik	1901	1907–08	B	12.7 t
2	Steam	Henschel & Sohn	1907	1907–08	B	14.3 t
3	Steam	A. Borsig	1908	1908–18	B	13.8 t
4 "Odin"	Steam	Orenstein & Koppel	1908	1908–49	B	13 t
344 & 336	Steam	Baldwin Locomotive Works	1917	1918–65	C	24.7 t
1, 2, 3, 6, 7 & 8	Electric	AEG / Skabo	1911–18	1911–66	D	44 t
4 & 5	Electric	AEG/Skabo	1912	1912–56	B	23 t
9 & 10	Electric	Sécheron	1958	1958–91	Bo'Bo'	60 t
14 & 15	Electric	Per Kure / Thune	1922	1966–91	B'B'	61.3 t
20, 21 & 22	Diesel	Henschel-Werke	1961	1961–91	C	43.5 t
