Season	Series	Team	Races	Wins	Poles	Podiums	Points	Position
2005	Formula BMW USA	EuroInternational	12	3	1	5	108	5th
2006	Eurocup Formula Renault 2.0	Cram Competition	14	0	0	0	34	10th
2006	Formula Renault 2.0 Italy	Cram Competition	12	0	1	10	216	3rd
2006–07	Toyota Racing Series	Mark Petch Motorsport	5	0	0	1	78	25th
2007	Formula 3 Euro Series	ASL Mücke Motorsport	20	0	0	1	8	15th
2007	Masters of Formula 3	ASL Mücke Motorsport	1	0	0	0	N/A	5th
2007–08	A1 Grand Prix	A1 Team Italy	14	0	0	0	12	18th
2008	Italian Formula Three	Team Ghinzani	16	7	8	11	127	2nd
2008	Euroseries 3000	Sighinolfi Autoracing	2	0	0	2	10	14th
2008	Spanish Formula Three	GTA Motor Competición	2	0	0	0	0	NC
2008–09	A1 Grand Prix	A1 Team Italy	8	0	0	0	17	16th
2009	FIA Formula Two Championship	Motorsport Vision	14	0	0	0	19	12th
2009	Euroseries 3000	Emmebi Motorsport	3	0	0	1	11	9th
2009–10	GP2 Asia Series	DAMS	8	0	0	0	3	16th
2010	Auto GP	DAMS	12	0	0	5	42	2nd
2010	Formula Le Mans	DAMS	1	0	1	0	1	15th
2010	GP2 Series	Trident Racing	2	0	0	0	2	26th
