Name	Pos.	Height	Weight	Date of Birth	Club
Denis Sefik	GK	m (ft 8in)	kg (lb)	1976-09-20	VK Partizan
Petar Trbojević	D	m (ft 6in)	kg (lb)	1973-09-09	CN Atlètic-Barceloneta
Slobodan Nikić	CF	m (ft 5in)	kg (lb)	1983-01-25	PVK Jadran
Vanja Udovičić	D	m (ft 4in)	kg (lb)	1982-09-12	PVK Jadran
Dejan Savić	CB	m (ft 4in)	kg (lb)	1975-04-24	Pro Recco
Danilo Ikodinović	D	m (ft 2in)	kg (lb)	1976-10-04	Pro Recco
Viktor Jelenić	CF	m (ft 8in)	kg (lb)	1970-10-31	Rari Nantes Savona
Vladimir Gojković	D	m (ft 4in)	kg (lb)	1982-01-29	PVK Jadran
Aleksandar Ćirić	D	m (ft 4in)	kg (lb)	1977-12-31	Leonessa Brescia
Aleksandar Šapić	D	m (ft 3in)	kg (lb)	1978-06-01	Rari Nantes Savona
Vladimir Vujasinović	CB	m (ft 5in)	kg (lb)	1973-08-14	Pro Recco
Predrag Jokić	CB	m (ft 2in)	kg (lb)	1983-02-03	PVK Jadran
Nikola Kuljača	GK	m (ft 6in)	kg (lb)	1974-08-16	Telimar Palermo
Head Coach: Nenad Manojlović	Head Coach: Nenad Manojlović	Head Coach: Nenad Manojlović	Head Coach: Nenad Manojlović	Head Coach: Nenad Manojlović	Head Coach: Nenad Manojlović
