Week	Date	Opponent	Result	Attendance
1	September 27, 1953	Pittsburgh Steelers	W 38-21	44,587
2	October 3, 1953	at Baltimore Colts	W 27-17	25,159
3	October 11, 1953	San Francisco 49ers	W 24-21	58,079
4	October 18, 1953	Los Angeles Rams	L 31-19	55,772
5	October 25, 1953	at San Francisco 49ers	W 14-10	54,662
6	November 1, 1953	at Los Angeles Rams	L 37-24	93,751
7	November 7, 1953	Baltimore Colts	W 17-7	46,208
8	November 15, 1953	at Green Bay Packers	W 14-7	20,834
9	November 22, 1953	at Chicago Bears	W 20-16	36,165
10	November 26, 1953	Green Bay Packers	W 34-15	52,547
11	December 6, 1953	Chicago Bears	W 13-7	58,056
12	December 13, 1953	at New York Giants	W 27-16	28,390
