Season	League	Division	GP	W	L	T	OTL	SOL	Pts	PCT	GF	GA	PIM	Coach(es)	Result
1990–91	ECHL	West	64	37	24	0	3	0	77	0.578	285	281	1954	Dennis Desrosiers	Lost in round 1
1991–92	ECHL	West	64	36	20	0	8	0	80	0.562	329	284	2323	Dennis Desrosiers	Lost in round 3
1992–93	IHL	IHLA	82	27	48	0	7	0	61	0.329	305	364	2388	Dennis Desrosiers	Out of Playoffs
1993–94	IHL	IHLC	81	49	23	0	9	0	107	0.605	336	282	2214	Dennis Desrosiers , Richard Kromm , Terry Murray	Lost in round 2
1994–95	IHL	Midwest	81	49	22	0	10	0	113	0.605	305	272	2125	Don Jackson	Lost in round 2
1995–96	IHL	IHLN	82	51	22	0	9	0	111	0.622	318	247	1806	Ron Smith	Lost in round 3
1996–97	IHL	IHLN	82	43	29	0	10	0	96	0.524	254	248	1890	Ron Smith	Lost in round 1
1997–98	IHL	IHLC	82	40	30	0	12	0	92	0.488	275	254	1702	Ron Smith	Lost in round 2
1998–99	IHL	IHLNE	82	44	32	0	6	0	94	0.537	269	270	1835	Ron Smith	Lost in round 1
1999–00	IHL	IHLE	82	44	30	0	8	0	96	0.537	244	246	1688	Ron Smith	Lost in round 3
2000–01	IHL	IHLE	82	44	29	0	9	0	97	0.537	267	258	1273	Ron Smith	Lost in round 1
2001–02	ECHL	Northwest	72	36	30	6	0	0	78	0.542	210	207	1462	Ray Edwards , Paul Lawless	Lost in round 2
2002–03	ECHL	Northwest	72	36	29	7	0	0	79	0.549	257	236	1686	Malcolm Cameron	Lost in round 3
2003–04	ECHL	Northern	72	25	43	4	0	0	54	0.375	175	223	1308	Chris Cichocki	Out of Playoffs
2006–07	ECHL	North	72	37	29	0	4	2	80	0.556	213	198	1602	Chuck Weber	Lost in round 3
2007–08	ECHL	North	72	55	11	0	1	4	115	0.799	292	178	1311	Chuck Weber	ECHL Champions
2008–09	ECHL	North	72	41	26	0	2	3	87	0.604	256	231	1391	Chuck Weber	Lost in round 3
2009–10	ECHL	North	72	44	25	0	2	2	91	0.611	253	200	1138	Chuck Weber	ECHL Champions
2010–11	ECHL	North	72	33	29	0	6	4	76	0.528	199	229	1351	Jarrod Skalde	Lost in round 1
2011–12	ECHL	North	72	35	28	0	2	7	79	0.549	228	227	1016	Jarrod Skalde	Out of Playoffs
