Name	Championship	League Cup	FA Cup	Total
Gary McSheffrey Category:Articles with hCards	15	1	1	17
Dele Adebola Category:Articles with hCards	12	0	0	12
Stern John Category:Articles with hCards	10	0	1	0 11
Dennis Wise Category:Articles with hCards	6	0	0	0 6
Don Hutchison Category:Articles with hCards	4	0	0	0 4
Claus Bech Jørgensen Category:Articles with hCards	3	0	0	0 3
Andy Morrell Category:Articles with hCards	2	1	0	0 3
James Scowcroft Category:Articles with hCards	3	0	0	0 3
Lilian Nalis Category:Articles with hCards	2	0	0	0 2
Matt Heath Category:Articles with hCards	1	1	0	0 2
Robert Page Category:Articles with hCards	1	0	0	0 1
Willo Flood Category:Articles with hCards	1	0	0	0 1
