Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 10	Mercedes Championships	Hawaii	David Duval (8)	266 (–26)	468,000
Jan 17	Sony Open in Hawaii	Hawaii	Jeff Sluman (4)	271 (–9)	468,000
Jan 24	Bob Hope Chrysler Classic	California	David Duval (9)	334 (–26)	540,000
Jan 31	Phoenix Open	Arizona	Rocco Mediate (3)	273 (–11)	540,000
Feb 7	AT&T Pebble Beach National Pro-Am	California	Payne Stewart (10)	206 (–10)	504,000
Feb 14	Buick Invitational	California	Tiger Woods (8)	266 (–22)	486,000
Feb 21	Nissan Open	California	Ernie Els (7)	270 (–14)	504,000
Feb 28	Touchstone Energy Tucson Open	Arizona	Gabriel Hjertstedt (2)	276 (–12)	495,000
Feb 28	WGC-Andersen Consulting Match Play Championship	California	Jeff Maggert (2)	38 holes	1,000,000
Mar 7	Doral-Ryder Open	Florida	Steve Elkington (10)	275 (–13)	540,000
Mar 14	Honda Classic	Florida	Vijay Singh (8)	277 (–11)	468,000
Mar 21	Bay Hill Invitational	Florida	Tim Herron (3)	274 (–14)	450,000
Mar 28	The Players Championship	Florida	David Duval (10)	285 (–3)	900,000
Apr 4	BellSouth Classic	Georgia	David Duval (11)	270 (–18)	450,000
Apr 11	Masters Tournament	Georgia	José María Olazábal (5)	280 (–8)	720,000
Apr 18	MCI Classic	South Carolina	Glen Day (1)	274 (–10)	450,000
Apr 25	Greater Greensboro Chrysler Classic	North Carolina	Jesper Parnevik (2)	265 (–23)	468,000
May 2	Shell Houston Open	Texas	Stuart Appleby (3)	279 (–9)	450,000
May 9	Compaq Classic of New Orleans	Louisiana	Carlos Franco (1)	269 (–19)	468,000
May 16	GTE Byron Nelson Classic	Texas	Loren Roberts (6)	262 (–18)	540,000
May 23	MasterCard Colonial	Texas	Olin Browne (2)	272 (–8)	504,000
May 30	Kemper Open	Maryland	Rich Beem (1)	274 (–10)	450,000
Jun 6	Memorial Tournament	Ohio	Tiger Woods (9)	273 (–15)	459,000
Jun 14	FedEx St. Jude Classic	Tennessee	Ted Tryba (2)	265 (–19)	450,000
Jun 20	U.S. Open	North Carolina	Payne Stewart (11)	279 (–1)	625,000
Jun 27	Buick Classic	New York	Duffy Waldorf (2)	276 (–8)	450,000
Jul 4	Motorola Western Open	Illinois	Tiger Woods (10)	273 (–15)	450,000
Jul 11	Greater Milwaukee Open	Wisconsin	Carlos Franco (2)	264 (–20)	414,000
Jul 18	British Open	Scotland	Paul Lawrie (1)	290 (+6)	546,805
Jul 25	John Deere Classic	Illinois	J. L. Lewis (1)	261 (–19)	360,000
Aug 1	Canon Greater Hartford Open	Connecticut	Brent Geiberger (1)	262 (–18)	450,000
Aug 8	Buick Open	Michigan	Tom Pernice, Jr. (1)	270 (–18)	432,000
Aug 15	PGA Championship	Illinois	Tiger Woods (11)	277 (–11)	630,000
Aug 22	Sprint International	Colorado	David Toms (2)	47 ( Stableford )	468,000
Aug 29	Reno-Tahoe Open	Nevada	Notah Begay III (1)	274 (–14)	495,000
Aug 29	WGC-NEC Invitational	Ohio	Tiger Woods (12)	270 (–10)	1,000,000
Sep 5	Air Canada Championship	Canada	Mike Weir (1)	266 (–18)	450,000
Sep 12	Bell Canadian Open	Canada	Hal Sutton (11)	275 (–13)	450,000
Sep 19	B.C. Open	New York	Brad Faxon (5)	273 (–15)	288,000
Sep 26	Westin Texas Open	Texas	Duffy Waldorf (3)	270 (–18)	360,000
Oct 3	Buick Challenge	Georgia	David Toms (3)	271 (–17)	324,000
Oct 10	Michelob Championship at Kingsmill	Virginia	Notah Begay III (2)	274 (–10)	450,000
Oct 17	Las Vegas Invitational	Nevada	Jim Furyk (4)	331 (–29)	450,000
Oct 24	National Car Rental Golf Classic Disney	Florida	Tiger Woods (13)	271 (–17)	450,000
Oct 31	The Tour Championship	Texas	Tiger Woods (14)	269 (–15)	900,000
Nov 1	Southern Farm Bureau Classic	Mississippi	Brian Henninger (2)	202 (–14)	360,000
Nov 7	WGC-American Express Championship	Spain	Tiger Woods (15)	278 (–6)	1,000,000
