Name	City	Metres	Feet	Floors	Finalized
Warsaw Spire	Warsaw	220	722	49	2014
Piedmont Region Headquarters	Turin	209	686	42	2014
Il Dritto Citylife	Milan	207	679	50	2014
Residencial In Tempo	Benidorm	200	656	52	2013
Tour Majunga	Paris	195	636	45	2013
European Central Bank Headquarters	Frankfurt	185	607	45	2014
St George Wharf Tower	London	181	594	58	2014
Cajasol Tower	Seville	178	584	40	2013
Lumiere	Leeds	172	564	55	2010 -->
Tour D2	Paris	171	564	37	2014
Taunusturm	Frankfurt	170	558	40	2014
Lo Storto Citylife	Milan	170	558	45	2015
Torre Intesa SanPaolo	Turin	167	549	39	2013
20 Fenchurch Street	London	160	525	36	2013
Dâmbovița Center	Bucharest	155	509	34	2015
La Muratella	Rome	150	508	30	2013
Torre La Sagrera	Barcelona	148	486	34	2014
Panorama Business & Retail Park	Gdynia	141	464	36	2013
New Henninger Turm	Frankfurt	140	459	39	2016
Torri degli Erzelli	Genoa	140	459	40	2014
New Babylon	The Hague	140	461	45	2011
Quais d'Arenc	Marseille	135	442	31	2015
Upper West	Berlin	118	387	33	2015
Quais d'Arenc	Marseille	113	370	40	2015
City Gate	Vienna	110	360	35	2015
