Date	Competition	Venue	Result	Score	Goals
3/4/98	Super League III	McAlpine Stadium	W	38-6	McNamara 5/7
12/4/98	Super League III	Odsal Stadium	L	6-26	McNamara 1/2
17/4/98	Super League III	Don Valley Stadium	W	11-4	McNamara 1/2, Graham 1 DG
26/4/98	Super League III	The Boulevard	W	26-24	McNamara 3/5
10/5/98	Super League III	Odsal Stadium	W	18-4	McNamara 3/3
17/5/98	Super League III	Odsal Stadium	L	16-21	McNamara 2/3
22/5/98	Super League III	The Jungle	W	52-10	McNamara 6/10
29/5/98	Super League III	Odsal Stadium	W	17-14	McNamara 2/3, McNamara 1 DG
7/6/98	Super League III	Wilderspool Stadium	L	10-28	McNamara 1/2
12/6/98	Super League III	Odsal Stadium	L	12-28	McNamara 2/2
21/6/98	Super League III	The Willows	L	10-11	McNamara 3/3
28/6/98	Super League III	Odsal Stadium	W	36-10	McNamara 5/5, Deacon 1/1
3/7/98	Super League III	Headingley Stadium	W	33-22	McNamara 6/6, McNamara 1 DG
18/7/98	Super League III	Tynecastle Stadium	L	8-22	McNamara 0/2
2/8/98	Super League III	Odsal Stadium	L	18-38	McNamara 3/3
9/8/98	Super League III	Odsal Stadium	W	38-18	McNamara 7/7
16/8/98	Super League III	Knowsley Road	L	25-33	McNamara 4/4, McNamara 1 DG
23/8/98	Super League III	Shay Stadium	L	12-25	McNamara 2/2
31/8/98	Super League III	Odsal Stadium	W	24-8	McNamara 6/6
6/9/98	Super League III	The Stoop	L	8-34	McNamara 2/2
13/9/98	Super League III	Odsal Stadium	W	36-8	McNamara 4/4, Deacon 2/2
20/9/98	Super League III	Central Park	L	4-38	McNamara 0/1
27/9/98	Super League III	Odsal Stadium	W	40-18	McNamara 5/6, Deacon 1/1
