Date	Venue	Score	Result	Competition
December 10, 1995	Chiang Mai , Thailand	3-1	Won	1995 Southeast Asian Games
December 12, 1995	Chiang Mai , Thailand	9-0	Won	1995 Southeast Asian Games
December 16, 1995	Chiang Mai , Thailand	4-0	Won	1995 Southeast Asian Games
February 9, 1996	Bangkok , Thailand	1-0	Won	King's Cup 1996
February 16, 1996	Bangkok , Thailand	5-2	Won	King's Cup 1996
June 27, 1996	Bangkok , Thailand	8-0	Won	1996 Asian Cup qualification
July 7, 1996	Singapore	7-1	Won	1996 Asian Cup qualification
July 9, 1996	Singapore	2-2	Drew	1996 Asian Cup qualification
September 2, 1996	Singapore	5-0	Won	1996 Tiger Cup
September 6, 1996	Singapore	6-0	Won	1996 Tiger Cup
September 8, 1996	Singapore	1-1	Drew	1996 Tiger Cup
September 13, 1996	Singapore	4-2	Won	1996 Tiger Cup
February 9, 1997	Bangkok , Thailand	1-1	Drew	King's Cup 1997
March 9, 1997	Bangkok , Thailand	2-0	Won	1998 FIFA World Cup qualification
March 30, 1997	Hong Kong Island , Hong Kong	2-3	Lost	1998 FIFA World Cup qualification
October 12, 1997	Jakarta , Indonesia	4-0	Won	1997 Southeast Asian Games
