Stage	Winner	General classification	Points classification	Mountains classification	Intergiro classification	Trofeo Fast Team
1	Mario Cipollini	Mario Cipollini	Mario Cipollini	not awarded	Dimitri Konyshev	Saeco
2	Mario Cipollini	Mario Cipollini	Mario Cipollini	not awarded	Dimitri Konyshev	Saeco
3	Pavel Tonkov	Pavel Tonkov	Mario Cipollini	Pavel Tonkov	Dimitri Konyshev	Mapei-GB
4	Mario Cipollini	Pavel Tonkov	Mario Cipollini	Pavel Tonkov	Dimitri Konyshev	Mapei-GB
5	Pavel Tonkov	Pavel Tonkov	Mario Cipollini	Pavel Tonkov	Dimitri Konyshev	Saeco
6	Roberto Sgambelluri	Pavel Tonkov	Mario Cipollini	Pavel Tonkov	Dimitri Konyshev	Saeco
7	Marcel Wüst	Pavel Tonkov	Mario Cipollini	Pavel Tonkov	Dimitri Konyshev	Saeco
8	Mario Manzoni	Pavel Tonkov	Mario Cipollini	Mariano Piccoli	Dimitri Konyshev	Asics-C.G.A.
9	Dimitri Konyshev	Pavel Tonkov	Mario Cipollini	Mariano Piccoli	Dimitri Konyshev	Asics-C.G.A.
10	Mario Cipollini	Pavel Tonkov	Mario Cipollini	Mariano Piccoli	Dimitri Konyshev	Asics-C.G.A.
11	Gabriele Missaglia	Pavel Tonkov	Mario Cipollini	Mariano Piccoli	Dimitri Konyshev	Asics-C.G.A.
12	Giuseppe Di Grande	Pavel Tonkov	Mario Cipollini	Mariano Piccoli	Dimitri Konyshev	Asics-C.G.A.
13	Glenn Magnusson	Pavel Tonkov	Mario Cipollini	Mariano Piccoli	Dimitri Konyshev	Asics-C.G.A.
14	Ivan Gotti	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Team Polti
15	Alessandro Baronti	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Asics-C.G.A.
16	Fabiano Fontanelli	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Asics-C.G.A.
17	Mirco Gualdi	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Team Polti
18	Serhij Hončar	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Team Polti
19	José Luis Rubiera	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Kelme-Costa Blanca
20	José Jaime González	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Kelme-Costa Blanca
21	Pavel Tonkov	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Kelme-Costa Blanca
22	Mario Cipollini	Ivan Gotti	Mario Cipollini	José Jaime González	Dimitri Konyshev	Kelme-Costa Blanca
