Round	Pick	Player	Nationality	College
1	5	Charles Barkley	United States	Auburn
1	10	Leon Wood	United States	California State-Fullerton
1	22	Tom Sewell	United States	Lamar
3	48	James Banks	United States	Georgia
3	68	Butch Graves	United States	Yale
4	91	Earl Harrison	United States	Morehead State
5	114	Dan Federman	United States	Tennessee
6	137	Gary Springer	United States	Iona
7	160	Rich Congo	United States	Drexel
8	183	Franks Dobbs	United States	Villanova
9	205	Michael Mitchell	United States	Drexel
10	227	Martin Clark	United States	Boston College
