Outcome	Year	Championship	Surface	Partner	Opponents	Score
Winner	24 May 2004	French Open , Paris, France	Clay	Olivier Rochus	Michaël Llodra Fabrice Santoro	7–5, 7–5
Winner	3 January 2005	ATP Adelaide , Adelaide, Australia	Hard	Olivier Rochus	Simon Aspelin Todd Perry	7–6, 6–4
Winner	1 January 2007	ATP Chennai , Chennai, India	Hard	Dick Norman	Rafael Nadal Bartolomé Salvá	7–6, 7–6
Winner	28 January 2007	ATP Delray Beach , Delray Beach, United States	Hard	Hugo Armando	James Auckland Stephen Huss	6–3, 6–7, [10–5]
Runner-up	15 January 2008	Heineken Open , Auckland, New Zealand	Hard	Jürgen Melzer	Luis Horna Juan Mónaco	4–6, 6–3, [7–10]
Runner-up	13 February 2011	SAP Open , San Jose, United States	Hard (i)	Alejandro Falla	Scott Lipsky Rajeev Ram	4–6, 6–4, [8–10]
Winner	18 March 2011	BNP Paribas Open , Indian Wells, United States	Hard	Alexandr Dolgopolov	Roger Federer Stanislas Wawrinka	6–4, 6–7 (5–7) , [10–7]
Winner	31 July 2011	Farmers Classic , Los Angeles, United States	Hard	Mark Knowles	Somdev Devvarman Treat Conrad Huey	7–6 (7–3) , 7–6 (12–10)
Winner	19 February 2012	SAP Open , San Jose, United States	Hard (i)	Mark Knowles	Kevin Anderson Frank Moser	6–4, 1–6, [10–5]
Runner-up	6 May 2012	BMW Open , Munich, Germany	Clay	Dick Norman	František Čermák Filip Polášek	4–6, 5–7
Runner-up	22 July 2012	BB&T Atlanta Open , Atlanta, United States	Hard	Michael Russell	Matthew Ebden Ryan Harrison	3-6, 6-3, [6-10]
Winner	30 July 2012	Farmers Classic , Los Angeles, United States	Hard	Ruben Bemelmans	Jamie Delgado Ken Skupski	7–6 (7–5) , 4–6, [10-7]
Winner	17 February 2013	SAP Open , San Jose, United States	Hard (i)	Frank Moser	Lleyton Hewitt Marinko Matosevic	6–0, 6–7 (4–7) , [10–4]
