Year	Network	Play-by-play	Colour commentator(s)	Studio host
1969	CBC	Danny Gallivan	Dick Irvin, Jr.	Ward Cornell
1968	CBC	Bill Hewitt	Brian McFarlane	Ward Cornell
1967	CBC	Danny Gallivan	Keith Dancy	Ward Cornell
1966	No game as it was shifted to the middle of season.	No game as it was shifted to the middle of season.	No game as it was shifted to the middle of season.	No game as it was shifted to the middle of season.
1965	CBC	Danny Gallivan	Keith Dancy	Ward Cornell
1964	CBC	Bill Hewitt	Bob Goldham	Ward Cornell
1963	CBC	Bill Hewitt	Bob Goldham	Ward Cornell
1962	CBC	Bill Hewitt	Bob Goldham	Ward Cornell
1961	CBC	Bill Hewitt	Bob Goldham	Ward Cornell
1960	CBC	Danny Gallivan	Keith Dancy	Ward Cornell
