Rank	Movie	Year	Studio(s)	Opening Week Nett Gross
1	Chennai Express	2013	Red Chillies Entertainment	156,70,00,000
2	Ek Tha Tiger	2012	Yash Raj Films	133,22,00,000
3	Yeh Jawaani Hai Deewani	2013	Dharma Productions	106,00,00,000
4	Bodyguard	2011	Reliance Entertainment	100,15,00,000
5	Dabangg 2	2012	Arbaaz Khan Productions	99,00,00,000
6	Ra.One	2011	Red Chillies Entertainment	91,27,00,000
7	Agneepath	2012	Dharma Productions	81,77,00,000
8	Dabangg	2010	Arbaaz Khan Productions	80,87,00,000
9	Jab Tak Hai Jaan	2012	Yash Raj Films	78,00,00,000
10	Rowdy Rathore	2012	UTV Motion Pictures	77,00,00,000
