Rank	Name	S-League	Singapore Cup	Singapore League Cup	AFC Cup	Total
1	Aleksandar Đurić	12 (13)	0 (1)	0 (0)	5 (6)	17 (20)
2	Ashrin Shariff	5 (9)	0 (1)	0 (0)	1 (6)	6 (16)
2	Therdsak Chaiman	4 (13)	0 (1)	0 (0)	2 (5)	6 (19)
3	Norikazu Murakami	4 (13)	1 (1)	0 (0)	0 (1)	5 (15)
3	Mustaqim Manzur	3 (11)	1 (1)	0 (0)	1 (6)	5 (18)
4	Jamil Ali	2 (12)	0 (1)	0 (0)	2 (5)	4 (18)
5	Masahiro Fukasawa	3 (13)	0 (1)	0 (0)	0 (6)	3 (20)
6	Kenji Arai	2 (13)	0 (0)	0 (0)	0 (6)	2 (19)
7	Shaiful Esah	1 (12)	0 (1)	0 (0)	0 (4)	1 (17)
7	John Wilkinson	0 (12)	0 (1)	0 (0)	1 (5)	1 (18)
