Year	Winner (number of titles)	Runners-up	Top Team in Regular Season (points)	Top Scorer (points)	Winning Coach
1968	Atlanta Chiefs (1)	San Diego Toros	San Diego Toros (186 points)	Janusz Kowalik	Phil Woosnam
1969	Kansas City Spurs (1)	Atlanta Chiefs	Kansas City Spurs (110 points)	Kaizer Motaung	Janos Bedl
1970	Rochester Lancers (1)	Washington Darts	Washington Darts (137 points)	Kirk Apostolidis	Sal DeRosa
1971	Dallas Tornado (1)	Atlanta Chiefs	Rochester Lancers (141 points)	Carlos Metidieri	Ron Newman
1972	New York Cosmos (1)	St. Louis Stars	New York Cosmos (77 points)	Randy Horton	Gordon Bradley
1973	Philadelphia Atoms (1)	Dallas Tornado	Dallas Tornado (111 points)	Kyle Rote, Jr.	Al Miller
1974	Los Angeles Aztecs (1)	Miami Toros	Los Angeles Aztecs (110 points)	Paul Child	Alex Perolli
1975	Tampa Bay Rowdies (1)	Portland Timbers	Portland Timbers (138 points)	Steve David	Eddie Firmani
1976	Toronto Metros-Croatia (1)	Minnesota Kicks	Tampa Bay Rowdies (154 points)	Giorgio Chinaglia	Domagoj Kapetanović
1977	New York Cosmos (2)	Seattle Sounders	Fort Lauderdale Strikers (161 points)	Steve David	Eddie Firmani
1978	New York Cosmos (3)	Tampa Bay Rowdies	New York Cosmos (212 points)	Giorgio Chinaglia	Eddie Firmani
1979	Vancouver Whitecaps (1)	Tampa Bay Rowdies	New York Cosmos (216 points)	Oscar Fabbiani	Tony Waiters
1980	New York Cosmos (4)	Fort Lauderdale Strikers	New York Cosmos (213 points)	Giorgio Chinaglia	Hennes Weisweiler & Yasin Özdenak
1981	Chicago Sting (1)	New York Cosmos	New York Cosmos (200 points)	Giorgio Chinaglia	Willy Roy
1982	New York Cosmos (5)	Seattle Sounders	New York Cosmos (203 points)	Giorgio Chinaglia	Julio Mazzei
1983	Tulsa Roughnecks (1)	Toronto Blizzard	New York Cosmos (194 points)	Roberto Cabañas	Terry Hennessey
