Week	Date	Opponent	Result	Attendance
1	September 2, 1979	at Denver Broncos	L 10–0	74,788
2	September 9, 1979	at Buffalo Bills	L 51–24	43,504
3	September 16, 1979	New England Patriots	L 20–14	41,805
4	September 23, 1979	Houston Oilers	L 30–27	45,615
5	September 30, 1979	at Dallas Cowboys	L 38–13	63,179
6	October 7, 1979	Kansas City Chiefs	L 10–7	40,041
7	October 14, 1979	Pittsburgh Steelers	W 34–10	52,381
8	October 21, 1979	at Cleveland Browns	L 28–27	75,119
9	October 28, 1979	Philadelphia Eagles	W 37–13	42,036
10	November 4, 1979	at Baltimore Colts	L 38–28	37,740
11	November 11, 1979	San Diego Chargers	L 26–24	40,782
12	November 18, 1979	at Houston Oilers	L 42–21	49,829
13	November 25, 1979	St. Louis Cardinals	W 34–28	25,103
14	December 2, 1979	at Pittsburgh Steelers	L 37–17	46,521
15	December 9, 1979	at Washington Redskins	L 28–14	52,882
16	December 16, 1979	Cleveland Browns	W 16–12	42,183
