Version	Length	Album	Remixed by	Year
Single version	4:30	—	—	1988
Album version	6:18	Ainsi soit je...	Laurent Boutonnat	1988
Maxi remix	7:10	Dance Remixes	Thierry Rogen	1988
Classic bonus beat	6:22	—	Thierry Rogen	1988
Lamentations	4:45	—	Thierry Rogen	1988
Music video	5:23	Les Clips Vol. II , Music Videos I	—	1988
Live version (recorded in 1989)	7:42	En Concert	—	1989
Live version (recorded in 1996)	5:00	Live à Bercy	—	1996
Live music video	5:04	Music Videos II & III	—	1996
Album version	4:45	Les Mots	Laurent Boutonnat	2001
Live version (recorded in 2006)	5:00	—	—	2006
Live version (recorded in 2009)	4:18	N°5 on Tour	—	2009
