Date	Visitor	Score	Home	Decision	Attendance	Record
March 2	Florida	1 – 0	NY Islanders	Anderson	15,314	29–31–8
March 4	Florida	1 – 0	Boston	Anderson	16,478	30–31–8
March 6	Pittsburgh	2 – 5	Florida	Anderson	17,012	31–31–8
March 8	Atlanta	2 – 3	Florida	Vokoun	16,614	32–31–8
March 12	NY Islanders	2 – 4	Florida	Vokoun	15,233	33–31–8
March 14	NY Rangers	2 – 3	Florida	Vokoun	19,321	34–31–8
March 16	Atlanta	1 – 3	Florida	Vokoun	15,704	35–31–8
March 20	Carolina	2 – 1	Florida	Vokoun	18,546	35–31–9
March 22	Tampa Bay	2 – 4	Florida	Vokoun	18,502	36–31–9
March 25	Florida	1 – 3	Tampa Bay	Vokoun	16,110	36–32–9
March 27	Atlanta	3 – 2	Florida	Vokoun	17,301	36–33–9
March 29	Washington	3 – 2	Florida	Vokoun	17,832	36–34–9
