Week	Date	Opponent	Result	Attendance
1	September 14, 1969	Houston Oilers	W 21–17	49,361
2	September 20, 1969	Miami Dolphins	W 20–17	50,277
3	September 28, 1969	at Boston Patriots	W 38–23	19,069
4	October 4, 1969	at Miami Dolphins	T 20–20	35,614
5	October 12, 1969	at Denver Broncos	W 24–14	49,511
6	October 19, 1969	Buffalo Bills	W 50–21	54,418
7	October 26, 1969	at San Diego Chargers	W 24–12	54,008
8	November 2, 1969	at Cincinnati Bengals	L 31–17	27,927
9	November 9, 1969	Denver Broncos	W 41–10	54,416
10	November 16, 1969	San Diego Chargers	W 21–16	54,372
11	November 23, 1969	at Kansas City Chiefs	W 27–24	51,982
12	November 30, 1969	at New York Jets	W 27–14	63,865
13	December 7, 1969	Cincinnati Bengals	W 37–17	54,427
14	December 13, 1969	Kansas City Chiefs	W 10–6	54,443
