Date	Opponent	Score	Loss	Record
July 2	@ Yankees	10 - 5	Rincón (0-3)	37-44
July 3	@ Yankees	11 - 8	Sabathia (6-7)	37-45
July 4	@ Yankees	7 - 1	Finley (4-11)	37-46
July 5	@ White Sox	4 - 2	Garland (7-6)	38-46
July 6	@ White Sox	7 - 3	Phillips (0-1)	38-47
July 7	@ White Sox	9 - 3	Ritchie (5-11)	39-47
July 11	Yankees	7 - 4	Sabathia (6-8)	39-48
July 12	Yankees	2 - 1 (10)	Karsay (3-4)	40-48
July 13	Yankees	14 - 5	Drese (8-7)	40-49
July 14	Yankees	10 - 7	Rivera (1-4)	41-49
July 15	White Sox	7 - 1	Glover (3-5)	42-49
July 16	White Sox	5 - 4	Wickman (0-3)	42-50
July 17	Twins	8 - 5	Báez (7-7)	42-51
July 18	Twins	8 - 6	Rincón (1-4)	42-52
July 19	@ Royals	8 - 5	Murray (0-1)	42-53
July 20	@ Royals	7 - 5	Wright (0-1)	42-54
July 20	@ Royals	5 - 3 (10)	Voyles (0-2)	43-54
July 21	@ Royals	13 - 12 (10)	Murray (0-2)	43-55
July 23	Yankees	9 - 3	Pettitte (4-4)	44-55
July 24	Yankees	14 - 7	Drese (8-8)	44-56
July 26	Tigers	8 - 5	Nagy (0-2)	44-57
July 27	Tigers	5 - 1	Sabathia (6-9)	44-58
July 28	Tigers	9 - 6	Acevedo (1-5)	45-58
July 29	@ Athletics	8 - 6	Magnante (0-2)	46-58
July 30	@ Athletics	5 - 4	Lidle (3-9)	47-58
July 31	@ Athletics	6 - 4	Westbrook (0-1)	47-59
