Season	Tier	Division	Pos.	Postseason	Cup Competitions
1998–99	3	Liga EBA	8	–	–
1999–00	2	LEB	16	–	–
2000–01	2	LEB	13	Relegation playoffs	–
2001–02	2	LEB	13	Relegation playoffs	–
2002–03	2	LEB	13	Relegated	–
2003–04	3	LEB 2	4	Semifinalist	Copa LEB Plata runner-up
2004–05	3	LEB 2	14	Relegation playoffs	–
2005–06	3	LEB 2	9	–	–
2006–07	3	LEB 2	1	Promoted	Copa LEB 2 semifinalist
2007–08	2	LEB Oro	8	Quarterfinalist	–
2008–09	2	LEB Oro	18	Relegated	–
2009–10	3	LEB Plata	15	–	–
2010–11	4	Liga EBA	21	Relegated	–
2011–12	4	Liga EBA	21	Relegated	–
2012–13	5	1ª División	1	Promoted	–
