Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Colorado	5 – 2	Los Angeles	Theodore	17,297	14–10–1
December 3	San Jose	3 – 2	Colorado	Theodore	15,213	14–11–1
December 5	Colorado	4 – 5	Columbus	Budaj	12,851	14–12–1
December 7	Philadelphia	1 – 2	Colorado	Theodore	16,312	15–12–1
December 9	St. Louis	5 – 9	Colorado	Theodore	15,476	16–12–1
December 12	Colorado	1 – 4	Columbus	Theodore	13,150	16–13–1
December 13	Colorado	2 – 1	Nashville	Budaj	12,456	17–13–1
December 15	Nashville	1 – 3	Colorado	Budaj	16,582	18–13–1
December 17	Colorado	4 – 2	Los Angeles	Budaj	16,647	19–13–1
December 19	Colorado	1 – 2	Anaheim	Budaj	17,197	19–13–2
December 21	NY Rangers	3 – 4	Colorado	Budaj	16,612	20–13–2
December 23	Vancouver	1 – 3	Colorado	Budaj	17,186	21–13–2
December 27	Detroit	4 – 2	Colorado	Budaj	18,007	21–14–2
December 29	Los Angeles	3 – 1	Colorado	Theodore	17,256	21–15–2
December 31	Colorado	3 – 4	Phoenix	Budaj	12,973	21–15–3
