Tie no	Home team	Score	Away team	Date
1	Blackpool	1–0	Burnley	3 January 1976
2	Southampton	1–1	Aston Villa	3 January 1976
Replay	Aston Villa	1–2	Southampton	7 January 1976
3	Leicester City	3–0	Sheffield United	3 January 1976
4	Notts County	0–1	Leeds United	3 January 1976
5	Nottingham Forest	0–0	Peterborough United	1 January 1976
Replay	Peterborough United	1–0	Nottingham Forest	7 January 1976
6	Wolverhampton Wanderers	3–0	Arsenal	3 January 1976
7	Middlesbrough	0–0	Bury	3 January 1976
Replay	Bury	3–2	Middlesbrough	6 January 1976
8	West Bromwich Albion	3–1	Carlisle United	3 January 1976
9	Sunderland	2–0	Oldham Athletic	3 January 1976
10	Derby County	2–1	Everton	3 January 1976
11	Luton Town	2–0	Blackburn Rovers	3 January 1976
12	Swindon Town	2–2	Tooting & Mitcham United	3 January 1976
Replay	Tooting & Mitcham United	2–1	Swindon Town	6 January 1976
13	Scarborough	1–2	Crystal Palace	3 January 1976
14	Shrewsbury Town	1–2	Bradford City	3 January 1976
15	Ipswich Town	3–1	Halifax Town	3 January 1976
16	Tottenham Hotspur	1–1	Stoke City	3 January 1976
Replay	Stoke City	2–1	Tottenham Hotspur	24 January 1976
17	Manchester City	6–0	Hartlepool	3 January 1976
18	Queens Park Rangers	0–0	Newcastle United	3 January 1976
Replay	Newcastle United	2–1	Queens Park Rangers	7 January 1976
19	Fulham	2–3	Huddersfield Town	3 January 1976
20	Brentford	0–0	Bolton Wanderers	3 January 1976
Replay	Bolton Wanderers	2–0	Brentford	6 January 1976
21	Coventry City	2–1	Bristol City	3 January 1976
22	Portsmouth	1–1	Birmingham City	3 January 1976
Replay	Birmingham City	0–1	Portsmouth	6 January 1976
23	West Ham United	0–2	Liverpool	3 January 1976
24	Manchester United	2–1	Oxford United	3 January 1976
25	Norwich City	1–1	Rochdale	3 January 1976
Replay	Rochdale	0–0	Norwich City	6 January 1976
Replay	Norwich City	2–1	Rochdale	13 January 1976
26	Hull City	1–1	Plymouth Argyle	3 January 1976
Replay	Plymouth Argyle	1–4	Hull City	6 January 1976
27	Chelsea	1–1	Bristol Rovers	1 January 1976
Replay	Bristol Rovers	0–1	Chelsea	3 January 1976
28	Southend United	2–1	Brighton & Hove Albion	3 January 1976
29	Charlton Athletic	2–1	Sheffield Wednesday	3 January 1976
30	York City	2–1	Hereford United	3 January 1976
31	Aldershot	1–2	Lincoln City	3 January 1976
32	Orient	0–1	Cardiff City	3 January 1976
