Year	Stage	Category	Start	Finish	Leader at the summit
2009	8	2	Andorra la Vella	Saint-Girons	Sandy Casar
2007	15	2	Foix	Loudenvielle	Juan Manuel Gárate
2002	12	2	Lannemezan	Plateau de Beille	Laurent Jalabert
1998	11	2	Bagnères-de-Luchon	Plateau de Beille	Roland Meier
1997	10	2	Bagnères-de-Luchon	Andorra – Arcalis	Laurent Brochard
1976	13	2	Font-Romeu	Saint-Gaudens	Roland Smet
1968	13	3	Saint-Gaudens	La Seu d'Urgell	Andrés Gandarias
1965	10	3	Bagnères-de-Bigorre	Ax-les-Thermes	Rik Van Looy
1957	17	Uncategorized	Ax-les-Thermes	Saint-Gaudens	Désiré Keteleer
1947	14	2	Carcassonne	Bagnères-de-Luchon	Albert Bourlon
