Outcome	Date	Tournament	Surface	Partner	Score
Winner	30 October 1995	Santiago , Chile	Clay	Miriam D'Agostini	6–0, 6–3
Winner	6 November 1995	São Paulo , Brazil	Clay	Miriam D'Agostini	6–1, 1–6, 7–5
Winner	13 November 1995	Buenos Aires , Argentina	Clay	Miriam D'Agostini	6–7(4), 6–0, 6–3
Runner-up	4 December 1995	São Paulo , Brazil	Hard	Nannie de Villiers	6–3, 6–2
Winner	9 December 1996	São Paulo , Brazil	Clay	Maria-Florencia Cianfagna	6–4, 6–7(4), 6–3
Winner	7 April 1997	Viña del Mar , Chile	Clay	Veronica Stele	6–1, 5–7, 6–2
Runner-up	26 May 1997	Barcelona , Spain	Clay	Veronica Stele	6–4, 5–7, 6–4
Winner	9 June 1997	Budapest , Hungary	Clay	Veronica Stele	6–3, 6–3
Winner	16 June 1997	Marseille , France	Clay	Veronica Stele	6–2, 4–6, 6–1
Winner	30 June 1997	Mont-de-Marsan , France	Clay	Veronica Stele	6–4, 6–3
Runner-up	29 September 1997	Otočec , Slovenia	Clay	Petra Mandula	7–5, 7–6(3)
Runner-up	10 November 1997	Le Havre , France	Clay (i)	Caroline Schneider	6–2, 3–6, 7–6(3)
Runner-up	17 November 1997	Deauville , France	Clay (i)	Caroline Schneider	6–2, 6–4
Runner-up	24 November 1997	Mallorca , Spain	Clay	Melanie Schnell	6–4, 6–2
Winner	1 December 1997	Mallorca , Spain	Clay	Melanie Schnell	6–4, 4–6, 7–5
Runner-up	5 October 1998	Santiago , Chile	Clay	Miriam D'Agostini	6–1, 6–2
Runner-up	30 November 1998	Guadalajara , Mexico	Clay	Miriam D'Agostini	6–1, 6–3
Winner	22 February 1999	Bushey , Great Britain	Carpet	Emmanuelle Gagliardi	6–7(4), 6–2, 7–6(0)
Winner	26 April 1999	Espinho, Portugal	Clay	Alicia Ortuño	6–3, 6–4
Runner-up	30 August 1999	Fano , Italy	Clay	Alicia Ortuño	6–1, 6–4
Runner-up	20 September 1999	Sofia , Bulgaria	Clay	Nadejda Ostrovskaya	walkover
Runner-up	28 February 2000	Chengdu City , China	Hard	Joana Cortez	6–1, 6–3
Winner	3 April 2000	Dubai , United Arab Emirates	Hard	Tathiana Garbin	7–6(5), 6–3
Winner	9 October 2000	Poitiers , France	Hard (i)	Yvette Basting	7–6(4), 6–1
Winner	27 November 2000	Tucson , USA	Hard	Liezel Horn	6–4, 6–2
Runner-up	2 April 2001	Dubai , United Arab Emirates	Hard	Caroline Dhenin	6–3, 6–0
Runner-up	23 July 2001	Ettenheim , Germany	Clay	Irina Selyutina	walkover
Winner	3 September 2001	Fano , Italy	Clay	Giulia Casoni	6–3, 6–4
Winner	24 September 2001	Batumi , Georgia	Carpet	Tatiana Poutchek	6–3, 7–6(3)
Runner-up	21 May 2002	Torino , Italy	Clay	Erica Krauth	7–6(5), 6–3
Runner-up	27 May 2002	Mostar , Bosnia-Herzegovina	Clay	Katarina Daskovic	6–3, 6–3
Winner	22 July 2002	Český Krumlov , Czech Republic	Clay	Tina Hergold	7–6(2), 7–5
Winner	3 December 2002	Boynton Beach , USA	Clay	Samantha Reeves	6–2, 7–6(5)
Winner	22 June 2004	Fontanafredda , Italy	Clay	Erica Krauth	2–6, 6–3, 6–2
Winner	16 August 2004	Kędzierzyn-Koźle , Poland	Clay	Marina Tavares	1–6, 6–4, 6–2
Runner-up	31 August 2004	Mestre , Italy	Clay	Marina Tavares	6–1, 6–2
Runner-up	10 May 2005	Casale Monferrato , Italy	Clay	Gloria Pizzichini	6–2, 6–0
Runner-up	23 August 2005	Maribor , Slovenia	Clay	Marina Tavares	7–6(2), 6–3
Runner-up	27 September 2005	Volos , Greece	Carpet	Marina Tavares	6–4, 6–2
Winner	4 October 2005	Rome, Italy	Clay	Marina Tavares	walkover
Winner	26 June 2006	Salzburg , Austria	Clay	Marina Tavares	3–6, 7–6(2), 6–3
Winner	16 June 2008	Davos , Switzerland	Clay	Marina Tavares	5–7, 6–4, [10–7]
Runner-up	30 June 2008	Stuttgart-Vaihingen , Germany	Clay	Marina Tavares	6–3, 6–4
Winner	20 October 2008	Saguenay , Canada	Hard (i)	Marina Tavares	2–6, 6–4, [10–4]
Winner	16 March 2009	Cairo , Egypt	Clay	Anikó Kapros	7–5, 6–3
Winner	23 March 2009	Latina, Italy	Clay	Marina Tavares	6–2, 6–0
Winner	29 June 2009	Stuttgart-Vaihingen , Germany	Clay	Laura Siegemund	7–6(2), 6–7(6), [10–4]
Runner-up	30 November 2009	Přerov , Czech Republic	Hard (i)	Darija Jurak	7–6(3), 3–6, [10–7]
Runner-up	6 June 2011	Zlín , Czech Republic	Clay	Réka-Luca Jani	3–6, 6–1, 6–4
Winner	12 September 2011	Zagreb , Croatia	Hard	Maria João Koehler	6–0, 6–3
Winner	19 September 2011	Shrewsbury , Great Britain	Hard	Maria João Koehler	7–6(3), 6–1
Runner-up	19 December 2011	Ankara , Turkey	Hard	Janette Husárová	6–4, 6–2
Winner	5 March 2012	Irapuato , Mexico	Hard	Janette Husárová	6–2, 6–7(9), [10–7]
Winner	12 March 2012	Nassau, Bahamas	Hard	Janette Husárová	6–1, 3–6, [10–6]
Runner-up	7 May 2012	Cagnes-sur-Mer , France	Clay	Renata Voráčová	7–5, 4–6, [10–6]
