Number	Player	Position	Height	Weight	Years Exp	College
9	Rick Brunson	Guard	6-4	190	3	Temple University
23	Marcus Camby	Forward/Center	6-11	220	4	University of Massachusetts
1	Chris Childs	Guard	6-3	195	6	Boise State University
32	Othella Harrington	Forward/Center	6-9	235	4	Georgetown University
20	Allan Houston	Guard	6-6	200	7	University of Tennessee
31	Mark Jackson	Guard	6-1	180	13	St. John's University
2	Larry Johnson	Forward	6-6	250	9	University of Nevada Las Vegas
44	Travis Knight	Center	7-0	235	4	University of Connecticut
13	Luc Longley	Center	7-2	265	9	University of New Mexico
7	Lavor Postell	Guard	6-5	215	R	St. John's University
41	Glen Rice	Forward	6-7	215	11	University of Michigan
50	Felton Spencer	Center	7-0	265	10	University of Louisville
8	Latrell Sprewell	Guard	6-5	190	8	University of Alabama
25	Erick Strickland	Guard	6-3	210	4	University of Nebraska
40	Kurt Thomas	Forward	6-9	230	5	Texas Christian University
21	Charlie Ward	Guard	6-2	190	6	Florida State University
