Place	Player	Country	Score	To par	Money ( $ )
1	Vijay Singh	Fiji	70-66-67-68=271	−9	540,000
2	Steve Stricker	United States	69-68-66-70=273	−7	324,000
3	Steve Elkington	Australia	69-69-69-67=274	−6	204,000
T4	Frank Lickliter	United States	68-71-69-68=276	−4	118,000
T4	Mark O'Meara	United States	69-70-69-68=276	−4	118,000
T4	Nick Price	Zimbabwe	70-73-68-65=276	−4	118,000
T7	Davis Love III	United States	70-68-69-70=277	−3	89,500
T7	Billy Mayfair	United States	73-67-67-70=277	−3	89,500
9	John Cook	United States	71-68-70-69=278	−2	80,000
T10	Skip Kendall	United States	72-68-68-71=279	−1	69,000
T10	Kenny Perry	United States	69-72-70-68=279	−1	69,000
T10	Tiger Woods	United States	66-72-70-71=279	−1	69,000
