No. in series	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
1	"Pilot"	Steve Hoefer	Dan Schneider	March27,2010	101	5.7
2	"The Bird Scene"	Steve Hoefer	Dan Schneider	April11,2010	102	3.5
3	"Stage Fighting"	Steve Hoefer	George Doty IV	April18,2010	103	3.3
4	"The Birthweek Song"	Adam Weissman	Jake Farrow	April25,2010	107	3.2
5	"Jade Dumps Beck"	Steve Hoefer	Matt Fleckenstein	May2,2010	106	3.3
6	"Tori the Zombie"	Russ Reinsel	Dan Schneider	May10,2010	105	4.1
7	"Robarazzi"	Steve Hoefer	Arthur Gradstein	June4,2010	108	6.0
8	"Survival of the Hottest"	Russ Reinsel	Dan Schneider	June26,2010	117	3.8
9	"Wi-Fi in the Sky"	Steve Hoefer	Dan Schneider	August27,2010	118	3.6
10	"Beck's Big Break"	David Kendall	Arthur Gradstein	September25,2010	104	N/A
11	"The Great Ping-Pong Scam"	Steve Hoefer	Matt Fleckenstein	October1,2010	115	N/A
12	"Cat's New Boyfriend"	Adam Weissman	Arthur Gradstein	October8,2010	112	2.9
13	"Freak the Freak Out"	Steve Hoefer	Dan Schneider	November26,2010	119–120	5.3
14	"Rex Dies"	Russ Reinsel	Jake Farrow	January8,2011	110	4.2
15	"The Diddly-Bops"	Steve Hoefer	Matt Fleckenstein	January17,2011	111	3.5
16	"Wok Star"	Adam Weissman	Jake Farrow	January17,2011	116	3.6
18	"A Film By Dale Squires"	Adam Weissman	George Doty IV	March5,2011	109	3.5
