Actor	Character	Soap Opera	Years	Duration
Jef De Smedt	Jan Van Den Bossche	Familie	1991—	23 years
Annie Geeraerts	Anna Dierckx	Familie	1991—	23 years
Jacky Lafon	Rita Van Den Bossche	Familie	1991—	23 years
Ray Verhaeghe	Albert Thielens	Familie	1993—	22 years
Pol Goossen	Frank Bomans	Thuis	1995—	19 years
Janine Bisschops	Jenny Verbeeck	Thuis	1995—	19 years
Annick Segal	Rosa Verbeeck	Thuis	1995—	19 years
Marleen Merckx	Simonne Backx	Thuis	1995—	19 years
Leah Thys	Marianne De Decker	Thuis	1995—	19 years
Mark Willems	Luc Bomans	Thuis	1996—	18 years
Monica Van Lierde	Ann De Decker	Thuis	1995–1998, 2001—	16 years
Marc Coessens	Frank Opdebeeck	Wittekerke	1993–2008	15 years
Greet Rouffaer	Nellie De Donder	Wittekerke	1993–2008	15 years
Arnold Willems	Georges Coppens	Wittekerke	1993–2008	15 years
Guido Horckmans	Walter Dierickx	Familie	1991–2006	15 years
Martine Jonckheere	Marie-Rose De Putter	Familie	1991–1997, 2005—	15 years
Gunther Levi	Peter Van Den Bossche	Familie	1999—	15 years
Silvia Claes	Trudy Tack De Rixart De Waremme	Familie	1999—	15 years
Anne Somers	Veronique Van den Bossche	Familie	1991–1994, 2001–2012	14 years
Peter Bulckaen	Max Moelands	Wittekerke	1994–2008	14 years
Vicky Versavel	Brenda Vermeir	Familie	1997–2002, 2003–2011	13 years
Steph Goossens	Cois Pelkmans	Thuis	1997–2010	13 years
Hilde Van Wesepoel	Linda Desmet	Familie	2001—	13 years
Chris Van Tongelen	Bart Van den Bossche	Familie	2001—	13 years
Bart Van Avermaet	Waldek Kozinsky	Thuis	2001—	13 years
Erik Goris	Rob Gerrits	Familie	1999–2011	12 years
Noureddine Farihi	Mo Fawzi	Thuis	1999–2011	12 years
Kristine Perpête	Els D'Hollander	Familie	1998–2010	12 years
Chris Boni	Yvette De Schrijver	Thuis	2001–2005, 2006—	12 years
Vanya Wellens	Femke De Grote	Thuis	2002—	12 years
Caroline Maes	Mieke Van Den Bossche	Familie	2002—	12 years
Alex Van Haecke	Peter Olivier	Wittekerke	1997–2008	11 years
Riet van Gool	Monique Maeterlinck	Familie	1991–2002	11 years
Barbara Bracke	Elke Baertsoen	Familie	1997–2008	11 years
Chris Deleu	Marthe Vermeir	Familie	1997–2008, 2011	11 years
Sally-Jane Van Horenbeeck	Peggy Verbeeck	Thuis	1995–2000, 2002, 2006, 2008—	11 years
Ann Pira	Nancy De Grote	Thuis	2003—	11 years
Dirk Meynendonckx	René D'Hollander	Familie	1997–2007	10 years
Peter Van Asbroeck	Werner van Sevenant	Thuis	1997–2007	10 years
Nathalie Wijnants	Eva Verbist	Thuis	1997–2007	10 years
Patsy Van der Meeren	Marie van Goethem	Thuis	1998–2008	10 years
Hilde Gijsbrechts	Elke Bran	Wittekerke	1998–2008	10 years
Ron Cornet	Jean-Paul Derdeyn	Wittekerke	1998–2008	10 years
