Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Hércules CF	38	73	21	10	7	61	30	+31
2	CD Logroñés	38	69	20	9	9	69	49	+20
3	RCD Mallorca	38	69	20	9	9	59	35	+24
4	Real Madrid B 1	38	64	18	10	10	50	41	+9
5	CF Extremadura	38	62	17	11	10	48	33	+15
6	CD Badajoz	38	62	18	8	12	48	31	+17
7	Deportivo Alavés	38	61	17	10	11	52	42	+10
8	CD Leganés	38	61	17	10	11	42	40	+2
9	CD Toledo	38	59	16	11	11	38	30	+8
10	CA Osasuna	38	52	15	7	16	49	43	+6
11	UE Lleida	38	48	12	12	14	40	49	-9
12	SD Eibar	38	46	10	16	12	24	31	-7
13	Écija	38	45	12	9	17	34	60	-26
14	Barcelona B	38	44	13	5	20	55	63	-8
15	Villarreal CF	38	44	11	11	16	32	39	-7
16	Almería CF	38	44	10	14	14	42	47	-5
17	Sestao 2	38	42	10	12	16	36	45	-9
18	Athletic de Bilbao B	38	40	10	10	18	49	63	-14
19	Getafe CF	38	32	7	11	20	30	52	-22
20	Atlético Marbella	38	21	4	9	25	28	63	-35
