Place	Player	Country	Score	To par
1	Thomas Bjørn	Denmark	73-70-69=212	−1
2	Davis Love III	United States	69-72-72=213	E
T3	Ben Curtis	United States	72-72-70=214	+1
T3	Sergio García	Spain	73-71-70=214	+1
T3	Kenny Perry	United States	74-70-70=214	+1
T3	Vijay Singh	Fiji	75-70-69=214	+1
T3	Tiger Woods	United States	73-72-69=214	+1
T8	S.K. Ho	South Korea	70-73-72=215	+2
T8	Phillip Price	Wales	74-72-69=215	+2
T10	Gary Evans	England	71-75-70=216	+3
T10	Pierre Fulke	Sweden	77-72-67=216	+3
T10	Fredrik Jacobson	Sweden	70-76-70=216	+3
T10	Peter Lonard	Australia	73-73-70=216	+3
