Date	Location	Opponent	Sooners Points	Opp. Points	Record
Nov. 13	Norman	Mercer	108	66	1–0
Nov. 15	Athens, Georgia	Georgia	51	62	1–1
Nov. 21	Norman	Texas Christian	74	70	2–1
Dec. 2	Norman	UT Arlington	100	67	3-1
Dec. 5	Norman	Arkansas	87	86	4-1
Dec. 9	Poughkeepsie	Marist	80	71	5-1
Dec.10	West Point	Army	59	46	6-1
Dec. 20	Omaha	Creighton	67	58	7-1
Dec. 30	Norman	Cal State Fullerton	95	76	8-1
Jan. 3	Knoxville	Tennessee	75	96	8-2
Jan. 9	Norman	Texas Tech	73	58	9-2
Jan. 13	Waco	Baylor	47	57	9-3
Jan.17	Norman	Texas A&M	74	65	10-3
Jan.20	Columbia, MO	Missouri	62	61	11-3
Jan.23	Norman	Kansas	81	69	12-3
Jan.27	Ames, Iowa	Iowa State	56	63	12-4
Jan.30	Lubbock	Texas Tech	70	66	13-4
Feb. 3	Norman	Texas	57	75	13-5
Feb. 6	Stillwater	Oklahoma State	77	66	14-5
Feb. 10	Norman	Baylor	62	60	15-5
Feb. 13	Norman	Colorado	65	55	16-5
Feb. 15	Norman	Connecticut	60	76	16-6
Feb. 20	Manhattan, KS	Kansas State	64	58	17-6
Feb. 24	Norman	Nebraska	64	80	17-7
Feb. 27	Austin	Texas	75	60	18-7
March 2	College Station, Texas	Texas A&M	55	78	18-8
