Year	Pick	Player	Position	Country	Previous team (League)
1991	2	Pat Falloon Category:Articles with hCards	Right Wing	Canada	Spokane Chiefs ( WHL )
1992	3	Mike Rathje Category:Articles with hCards	Defense	Canada	Medicine Hat Tigers ( WHL )
1992	10	Andrei Nazarov Category:Articles with hCards	Left Wing	Russia	Dynamo Moscow ( CIS )
1993	6	Viktor Kozlov Category:Articles with hCards	Left Wing	Russia	Dynamo Moscow ( RSL )
1994	11	Jeff Friesen Category:Articles with hCards	Left Wing	Canada	Regina Pats ( WHL )
1995	12	Teemu Riihijarvi Category:Articles with hCards ≠	Right Wing	Finland	Kiekko-Espoo ( SM-liiga )
1996	2	Andrei Zyuzin Category:Articles with hCards	Defense	Russia	Salavat Yulajev ( RSL )
1996	21	Marco Sturm Category:Articles with hCards	Center	Germany	Landshut EV ( DEL )
1997	2	Patrick Marleau Category:Articles with hCards	Left Wing	Canada	Seattle Thunderbirds ( WHL )
1997	23	Scott Hannan Category:Articles with hCards	Defense	Canada	Kelowna Rockets ( WHL )
1998	3	Brad Stuart Category:Articles with hCards	Defense	Canada	Regina Pats ( WHL )
1999	14	Jeff Jillson Category:Articles with hCards	Defense	United States	University of Michigan ( CCHA )
2000	No pick [d ]	No pick [d ]	No pick [d ]	No pick [d ]	No pick [d ]
2001	20	Marcel Goc Category:Articles with hCards	Center	Germany	Schwenninger Wild Wings ( DEL )
2002	27	Mike Morris Category:Articles with hCards ≠	Forward	United States	St. Sebastian's School ( ISL )
2003	6	Milan Michalek Category:Articles with hCards	Left Wing	Czech Republic	HC České Budějovice ( CZE )
2003	16	Steve Bernier Category:Articles with hCards	Right Wing	Canada	Moncton Wildcats ( QMJHL )
2004	22	Lukas Kaspar Category:Articles with hCards	Left Wing	Czech Republic	HC Litvínov ( CZE )
2005	8	Devin Setoguchi Category:Articles with hCards	Right Wing	Canada	Saskatoon Blades ( WHL )
2006	16	Ty Wishart Category:Articles with hCards	Defense	Canada	Prince George Cougars ( WHL )
2007	9	Logan Couture Category:Articles with hCards	Center	Canada	Ottawa 67's ( OHL )
2007	28	Nick Petrecki Category:Articles with hCards	Defense	United States	Omaha Lancers ( USHL )
2008	No pick [g ]	No pick [g ]	No pick [g ]	No pick [g ]	No pick [g ]
2009	No pick [h ]	No pick [h ]	No pick [h ]	No pick [h ]	No pick [h ]
2010	28	Charlie Coyle Category:Articles with hCards	Forward	United States	South Shore Kings ( EJHL )
2011	No pick [i ]	No pick [i ]	No pick [i ]	No pick [i ]	No pick [i ]
2012	17	Tomas Hertl Category:Articles with hCards	Forward	Czech Republic	HC Slavia Praha ( CZE )
2013	18	Mirco Mueller Category:Articles with hCards ≠	Defense	Switzerland	Everett Silvertips ( WHL )
